symbol,date,open,high,low,close,volume
APOLLOHOSP,2000-01-03,104.0,105.05,104.0,105.05,2700
APOLLOHOSP,2000-01-04,113.45,113.48,113.45,113.48,12250
APOLLOHOSP,2000-01-05,122.5,122.58,113.5,121.78,60050
APOLLOHOSP,2000-01-06,122.5,131.53,122.5,131.53,36000
APOLLOHOSP,2000-01-07,142.05,142.05,142.05,142.05,94600
APOLLOHOSP,2000-01-10,153.43,153.43,153.43,153.43,68050
APOLLOHOSP,2000-01-11,165.63,165.63,141.15,141.6,133500
APOLLOHOSP,2000-01-12,141.5,152.95,141.5,151.5,115500
APOLLOHOSP,2000-01-13,149.0,151.75,142.53,149.15,52050
APOLLOHOSP,2000-01-14,148.45,152.5,144.3,147.43,110800
APOLLOHOSP,2000-01-17,150.0,150.0,146.05,146.6,41050
APOLLOHOSP,2000-01-18,145.0,147.0,142.5,144.48,42700
APOLLOHOSP,2000-01-19,147.4,147.4,144.2,144.53,18600
APOLLOHOSP,2000-01-20,146.0,156.1,146.0,156.1,26650
APOLLOHOSP,2000-01-21,160.0,168.6,160.0,168.6,221450
APOLLOHOSP,2000-01-24,177.5,182.1,175.0,182.1,55400
APOLLOHOSP,2000-01-25,188.7,196.5,170.0,174.1,62100
APOLLOHOSP,2000-01-27,178.0,188.05,177.5,188.0,72050
APOLLOHOSP,2000-01-28,189.45,203.05,182.5,202.73,167150
APOLLOHOSP,2000-01-31,190.0,214.93,186.53,207.6,110550
APOLLOHOSP,2000-02-01,210.0,224.23,202.5,223.78,132450
APOLLOHOSP,2000-02-02,239.93,241.68,236.13,241.68,171550
APOLLOHOSP,2000-02-03,250.0,260.0,222.35,250.68,253700
APOLLOHOSP,2000-02-04,242.5,251.0,230.63,233.4,86250
APOLLOHOSP,2000-02-07,220.0,230.98,214.75,214.9,113900
APOLLOHOSP,2000-02-08,210.0,214.75,197.73,197.73,53700
APOLLOHOSP,2000-02-09,200.0,213.55,187.5,213.45,138350
APOLLOHOSP,2000-02-10,215.0,225.0,202.5,204.73,52800
APOLLOHOSP,2000-02-11,215.0,215.0,196.05,198.15,37350
APOLLOHOSP,2000-02-14,198.5,204.98,182.3,202.58,71250
APOLLOHOSP,2000-02-15,198.5,204.9,193.0,201.45,119800
APOLLOHOSP,2000-02-16,213.0,217.58,213.0,217.58,16050
APOLLOHOSP,2000-02-17,222.5,235.0,220.0,235.0,101100
APOLLOHOSP,2000-02-18,244.0,250.0,237.5,245.8,74150
APOLLOHOSP,2000-02-21,250.0,252.5,226.15,226.25,53300
APOLLOHOSP,2000-02-22,222.75,225.0,208.15,208.15,57350
APOLLOHOSP,2000-02-23,220.55,224.5,200.0,208.55,50750
APOLLOHOSP,2000-02-24,210.0,214.5,193.0,199.75,28950
APOLLOHOSP,2000-02-25,195.03,204.38,195.0,199.8,20500
APOLLOHOSP,2000-02-28,195.0,200.0,190.25,198.3,41200
APOLLOHOSP,2000-02-29,193.0,200.0,182.5,182.68,46450
APOLLOHOSP,2000-03-01,168.5,197.25,168.5,197.18,42100
APOLLOHOSP,2000-03-02,199.95,212.0,181.4,186.78,65000
APOLLOHOSP,2000-03-03,190.0,190.0,176.5,179.83,32000
APOLLOHOSP,2000-03-06,187.0,187.5,175.0,179.4,34950
APOLLOHOSP,2000-03-07,177.5,177.5,165.05,167.0,55300
APOLLOHOSP,2000-03-08,170.0,180.38,155.0,173.3,52450
APOLLOHOSP,2000-03-09,177.0,187.18,166.0,184.78,151100
APOLLOHOSP,2000-03-10,180.0,190.0,180.0,182.9,14200
APOLLOHOSP,2000-03-13,169.0,182.5,169.0,176.38,36200
APOLLOHOSP,2000-03-14,173.0,177.5,163.07,170.8,71500
APOLLOHOSP,2000-03-15,172.0,173.75,157.7,163.63,9350
APOLLOHOSP,2000-03-16,157.5,158.0,150.57,152.5,15000
APOLLOHOSP,2000-03-21,150.0,150.0,140.3,141.57,28650
