symbol,date,open,high,low,close,volume,adj_close
BAC,1973-02-21,4.625,4.625,4.625,4.625,99200,1.5154750347137451
BAC,1973-02-22,4.640625,4.640625,4.640625,4.640625,47200,1.5205943584442139
BAC,1973-02-23,4.625,4.625,4.625,4.625,133600,1.5154750347137451
BAC,1973-02-26,4.625,4.625,4.625,4.625,24000,1.5154750347137451
BAC,1973-02-27,4.625,4.625,4.625,4.625,41600,1.5154750347137451
BAC,1973-02-28,4.625,4.625,4.625,4.625,66400,1.5154750347137451
BAC,1973-03-01,4.65625,4.65625,4.65625,4.65625,93600,1.5257151126861572
BAC,1973-03-02,4.671875,4.671875,4.671875,4.671875,26400,1.5308343172073364
BAC,1973-03-05,4.734375,4.734375,4.734375,4.734375,68000,1.5513144731521606
BAC,1973-03-06,4.875,4.875,4.875,4.875,76800,1.5973930358886719
BAC,1973-03-07,4.875,4.875,4.875,4.875,51200,1.5973930358886719
BAC,1973-03-08,4.90625,4.90625,4.90625,4.90625,84800,1.6076328754425049
BAC,1973-03-09,4.90625,4.90625,4.90625,4.90625,78400,1.6076328754425049
BAC,1973-03-12,4.890625,4.890625,4.890625,4.890625,73600,1.6025131940841675
BAC,1973-03-13,4.90625,4.90625,4.90625,4.90625,47200,1.6076328754425049
BAC,1973-03-14,4.921875,4.921875,4.921875,4.921875,50400,1.6127524375915527
BAC,1973-03-15,4.90625,4.90625,4.90625,4.90625,70400,1.6076328754425049
BAC,1973-03-16,4.890625,4.890625,4.890625,4.890625,44800,1.6025131940841675
BAC,1973-03-19,4.84375,4.84375,4.84375,4.84375,28000,1.5871531963348389
BAC,1973-03-20,4.75,4.75,4.75,4.75,68800,1.5564337968826294
BAC,1973-03-21,4.6875,4.6875,4.6875,4.6875,94400,1.5359554290771484
BAC,1973-03-22,4.609375,4.609375,4.609375,4.609375,55200,1.510355830192566
BAC,1973-03-23,4.609375,4.609375,4.609375,4.609375,117600,1.510355830192566
BAC,1973-03-26,4.59375,4.59375,4.59375,4.59375,9600,1.5052357912063599
BAC,1973-03-27,4.59375,4.59375,4.59375,4.59375,15200,1.5052357912063599
BAC,1973-03-28,4.65625,4.65625,4.65625,4.65625,141600,1.5257151126861572
BAC,1973-03-29,4.71875,4.71875,4.71875,4.71875,120000,1.546194314956665
BAC,1973-03-30,4.71875,4.71875,4.71875,4.71875,85600,1.546194314956665
BAC,1973-04-02,4.6875,4.6875,4.6875,4.6875,52800,1.5359554290771484
BAC,1973-04-03,4.65625,4.65625,4.65625,4.65625,23200,1.5257151126861572
BAC,1973-04-04,4.625,4.625,4.625,4.625,78400,1.5154750347137451
BAC,1973-04-05,4.609375,4.609375,4.609375,4.609375,78400,1.510355830192566
BAC,1973-04-06,4.609375,4.609375,4.609375,4.609375,36000,1.510355830192566
BAC,1973-04-09,4.609375,4.609375,4.609375,4.609375,28000,1.510355830192566
BAC,1973-04-10,4.71875,4.71875,4.71875,4.71875,88800,1.546194314956665
BAC,1973-04-11,4.75,4.75,4.75,4.75,144000,1.5564337968826294
BAC,1973-04-12,4.8125,4.8125,4.8125,4.8125,140800,1.576913595199585
BAC,1973-04-13,4.8125,4.8125,4.8125,4.8125,13600,1.576913595199585
BAC,1973-04-16,4.8125,4.8125,4.8125,4.8125,40000,1.576913595199585
BAC,1973-04-17,4.6875,4.6875,4.6875,4.6875,92800,1.5359554290771484
BAC,1973-04-18,4.671875,4.671875,4.671875,4.671875,25600,1.5308343172073364
BAC,1973-04-19,4.6875,4.6875,4.6875,4.6875,39200,1.5359554290771484
BAC,1973-04-23,4.625,4.625,4.625,4.625,48000,1.5154750347137451
BAC,1973-04-24,4.59375,4.59375,4.59375,4.59375,134400,1.5052357912063599
BAC,1973-04-25,4.5625,4.5625,4.5625,4.5625,59200,1.494996428489685
BAC,1973-04-26,4.5625,4.5625,4.5625,4.5625,33600,1.494996428489685
BAC,1973-04-27,4.53125,4.53125,4.53125,4.53125,36800,1.4847561120986938
BAC,1973-04-30,4.46875,4.46875,4.46875,4.46875,91200,1.4642771482467651
BAC,1973-05-01,4.4375,4.4375,4.4375,4.4375,295200,1.4540371894836426
BAC,1973-05-02,4.453125,4.453125,4.453125,4.453125,61600,1.4591566324234009
BAC,1973-05-03,4.453125,4.5,4.4375,4.4375,56000,1.4540371894836426
BAC,1973-05-04,4.484375,4.546875,4.484375,4.484375,43200,1.469396948814392
BAC,1973-05-07,4.5,4.5625,4.5,4.5,42400,1.4745171070098877
BAC,1973-05-08,4.515625,4.578125,4.515625,4.515625,28800,1.4796372652053833
BAC,1973-05-09,4.640625,4.703125,4.640625,4.640625,58400,1.5205943584442139
BAC,1973-05-10,4.75,4.8125,4.75,4.75,70400,1.5564337968826294
BAC,1973-05-11,4.765625,4.828125,4.765625,4.765625,26400,1.561554193496704
BAC,1973-05-14,4.65625,4.65625,4.59375,4.59375,151200,1.5052357912063599
BAC,1973-05-15,4.59375,4.640625,4.578125,4.578125,163200,1.5001158714294434
BAC,1973-05-16,4.671875,4.734375,4.671875,4.671875,75200,1.5308343172073364
BAC,1973-05-17,4.671875,4.734375,4.671875,4.671875,27200,1.5308343172073364
BAC,1973-05-18,4.671875,4.6875,4.625,4.625,59200,1.5154750347137451
BAC,1973-05-21,4.625,4.671875,4.609375,4.609375,60800,1.510355830192566
BAC,1973-05-22,4.65625,4.71875,4.65625,4.65625,95200,1.5257151126861572
BAC,1973-05-23,4.671875,4.734375,4.671875,4.671875,34400,1.5308343172073364
BAC,1973-05-24,4.78125,4.84375,4.78125,4.78125,60000,1.5666736364364624
BAC,1973-05-25,4.84375,4.90625,4.84375,4.84375,111200,1.5871531963348389
BAC,1973-05-29,4.875,4.9375,4.875,4.875,144800,1.5973930358886719
BAC,1973-05-30,4.859375,4.859375,4.796875,4.796875,90400,1.5717929601669312
BAC,1973-05-31,4.796875,4.859375,4.796875,4.796875,36000,1.5717929601669312
BAC,1973-06-01,4.796875,4.859375,4.796875,4.796875,47200,1.5717929601669312
BAC,1973-06-04,4.640625,4.640625,4.578125,4.578125,119200,1.5001158714294434
BAC,1973-06-05,4.5625,4.5625,4.5,4.5,101600,1.4745171070098877
BAC,1973-06-06,4.5,4.5,4.4375,4.4375,32000,1.4540371894836426
BAC,1973-06-07,4.46875,4.53125,4.46875,4.46875,31200,1.4642771482467651
BAC,1973-06-08,4.484375,4.546875,4.484375,4.484375,98400,1.469396948814392
BAC,1973-06-11,4.5,4.5625,4.5,4.5,58400,1.4745171070098877
BAC,1973-06-12,4.546875,4.609375,4.546875,4.546875,148800,1.4898768663406372
BAC,1973-06-13,4.5625,4.625,4.5625,4.5625,40800,1.494996428489685
BAC,1973-06-14,4.59375,4.65625,4.59375,4.59375,53600,1.5052357912063599
BAC,1973-06-15,4.59375,4.609375,4.546875,4.546875,43200,1.4898768663406372
BAC,1973-06-18,4.53125,4.53125,4.46875,4.46875,31200,1.4642771482467651
BAC,1973-06-19,4.46875,4.484375,4.421875,4.421875,83200,1.4489173889160156
BAC,1973-06-20,4.421875,4.453125,4.390625,4.390625,30400,1.4386780261993408
BAC,1973-06-21,4.390625,4.4375,4.375,4.375,78400,1.4335577487945557
BAC,1973-06-22,4.375,4.4375,4.375,4.375,58400,1.4335577487945557
BAC,1973-06-25,4.359375,4.359375,4.296875,4.296875,46400,1.4079580307006836
BAC,1973-06-26,4.328125,4.390625,4.328125,4.328125,44000,1.418198585510254
BAC,1973-06-27,4.328125,4.375,4.3125,4.3125,90400,1.4130781888961792
BAC,1973-06-28,4.3125,4.328125,4.265625,4.265625,57600,1.3977179527282715
