symbol,date,open,high,low,close,volume
BAJFINANCE,2002-07-01,0.54,0.57,0.54,0.56,2130
BAJFINANCE,2002-07-02,0.57,0.57,0.56,0.56,5931
BAJFINANCE,2002-07-03,0.57,0.57,0.55,0.56,3319
BAJFINANCE,2002-07-04,0.57,0.57,0.56,0.57,2710
BAJFINANCE,2002-07-05,0.57,0.58,0.56,0.58,5730
BAJFINANCE,2002-07-08,0.57,0.59,0.57,0.58,4752
BAJFINANCE,2002-07-09,0.58,0.59,0.57,0.58,31270
BAJFINANCE,2002-07-10,0.56,0.56,0.53,0.54,13450
BAJFINANCE,2002-07-11,0.51,0.54,0.51,0.53,1460
BAJFINANCE,2002-07-12,0.57,0.57,0.54,0.55,2350
BAJFINANCE,2002-07-15,0.55,0.56,0.53,0.55,4890
BAJFINANCE,2002-07-16,0.54,0.56,0.54,0.55,2422
BAJFINANCE,2002-07-17,0.48,0.53,0.48,0.52,2075
BAJFINANCE,2002-07-18,0.5,0.53,0.5,0.52,2675
BAJFINANCE,2002-07-19,0.52,0.54,0.52,0.53,1300
BAJFINANCE,2002-07-22,0.52,0.53,0.51,0.51,2105
BAJFINANCE,2002-07-23,0.5,0.52,0.5,0.52,3902
BAJFINANCE,2002-07-24,0.52,0.53,0.51,0.52,3350
BAJFINANCE,2002-07-25,0.52,0.52,0.49,0.5,3710
BAJFINANCE,2002-07-26,0.53,0.53,0.49,0.5,5029
BAJFINANCE,2002-07-29,0.43,0.44,0.4,0.44,1670
BAJFINANCE,2002-07-30,0.43,0.45,0.42,0.44,6467
BAJFINANCE,2002-07-31,0.43,0.44,0.43,0.43,540
BAJFINANCE,2002-08-01,0.44,0.46,0.44,0.46,3025
BAJFINANCE,2002-08-02,0.42,0.47,0.42,0.46,2741
BAJFINANCE,2002-08-05,0.47,0.49,0.47,0.49,1830
BAJFINANCE,2002-08-06,0.48,0.48,0.48,0.48,650
BAJFINANCE,2002-08-07,0.49,0.5,0.48,0.49,2412
BAJFINANCE,2002-08-08,0.49,0.49,0.47,0.48,1611
BAJFINANCE,2002-08-09,0.48,0.48,0.47,0.48,3150
BAJFINANCE,2002-08-12,0.47,0.49,0.47,0.47,1050
BAJFINANCE,2002-08-13,0.47,0.48,0.47,0.47,1100
BAJFINANCE,2002-08-14,0.47,0.48,0.47,0.47,1157
BAJFINANCE,2002-08-16,0.47,0.48,0.47,0.48,776
BAJFINANCE,2002-08-19,0.47,0.49,0.46,0.47,1501
BAJFINANCE,2002-08-20,0.47,0.47,0.45,0.46,1675
BAJFINANCE,2002-08-21,0.47,0.47,0.46,0.46,2655
BAJFINANCE,2002-08-22,0.46,0.46,0.45,0.46,600
BAJFINANCE,2002-08-23,0.46,0.46,0.46,0.46,2025
BAJFINANCE,2002-08-26,0.46,0.46,0.43,0.46,490
BAJFINANCE,2002-08-27,0.46,0.46,0.46,0.46,1051
BAJFINANCE,2002-08-28,0.45,0.47,0.45,0.45,300
BAJFINANCE,2002-08-29,0.45,0.46,0.45,0.45,475
BAJFINANCE,2002-08-30,0.45,0.47,0.45,0.47,1350
BAJFINANCE,2002-09-02,0.45,0.45,0.45,0.45,675
BAJFINANCE,2002-09-03,0.45,0.45,0.45,0.45,900
BAJFINANCE,2002-09-04,0.45,0.46,0.45,0.46,1960
BAJFINANCE,2002-09-05,0.46,0.46,0.46,0.46,184
BAJFINANCE,2002-09-06,0.45,0.47,0.45,0.46,1150
BAJFINANCE,2002-09-09,0.45,0.45,0.45,0.45,400
BAJFINANCE,2002-09-11,0.45,0.46,0.45,0.45,625
BAJFINANCE,2002-09-12,0.46,0.46,0.45,0.46,350
BAJFINANCE,2002-09-13,0.46,0.46,0.45,0.46,570
BAJFINANCE,2002-09-16,0.46,0.46,0.45,0.46,2400
BAJFINANCE,2002-09-17,0.46,0.46,0.45,0.45,2423
BAJFINANCE,2002-09-18,0.46,0.46,0.45,0.45,1721
BAJFINANCE,2002-09-19,0.45,0.46,0.45,0.45,3826
BAJFINANCE,2002-09-20,0.39,0.46,0.39,0.46,1438
BAJFINANCE,2002-09-23,0.46,0.47,0.45,0.46,2631
BAJFINANCE,2002-09-24,0.46,0.46,0.45,0.46,2540
BAJFINANCE,2002-09-25,0.45,0.46,0.45,0.45,1410
BAJFINANCE,2002-09-27,0.45,0.45,0.45,0.45,300
BAJFINANCE,2002-09-30,0.45,0.45,0.45,0.45,400
BAJFINANCE,2002-10-01,0.45,0.46,0.45,0.45,557
BAJFINANCE,2002-10-03,0.45,0.45,0.45,0.45,200
BAJFINANCE,2002-10-04,0.45,0.45,0.45,0.45,605
BAJFINANCE,2002-10-07,0.45,0.46,0.45,0.45,2345
BAJFINANCE,2002-10-08,0.46,0.46,0.45,0.45,1775
BAJFINANCE,2002-10-09,0.44,0.45,0.44,0.45,670
BAJFINANCE,2002-10-10,0.45,0.45,0.45,0.45,126
BAJFINANCE,2002-10-11,0.45,0.45,0.45,0.45,436
BAJFINANCE,2002-10-14,0.41,0.47,0.41,0.46,326
BAJFINANCE,2002-10-16,0.45,0.46,0.45,0.45,350
BAJFINANCE,2002-10-17,0.46,0.46,0.45,0.46,2202
BAJFINANCE,2002-10-18,0.45,0.46,0.45,0.45,1735
BAJFINANCE,2002-10-21,0.45,0.46,0.45,0.46,4945
BAJFINANCE,2002-10-22,0.45,0.46,0.44,0.44,837
BAJFINANCE,2002-10-23,0.46,0.46,0.44,0.44,6915
BAJFINANCE,2002-10-24,0.43,0.44,0.43,0.43,2081
BAJFINANCE,2002-10-25,0.43,0.44,0.41,0.43,12215
BAJFINANCE,2002-10-28,0.43,0.44,0.43,0.44,387
BAJFINANCE,2002-10-29,0.39,0.43,0.39,0.43,415
BAJFINANCE,2002-10-30,0.45,0.45,0.43,0.43,430
BAJFINANCE,2002-10-31,0.38,0.44,0.38,0.44,1485
BAJFINANCE,2002-11-01,0.43,0.44,0.43,0.44,765
BAJFINANCE,2002-11-04,0.42,0.42,0.42,0.42,100
BAJFINANCE,2002-11-05,0.42,0.44,0.42,0.42,857
BAJFINANCE,2002-11-07,0.43,0.43,0.42,0.42,922
BAJFINANCE,2002-11-08,0.42,0.42,0.42,0.42,750
BAJFINANCE,2002-11-11,0.41,0.42,0.41,0.42,1305
BAJFINANCE,2002-11-12,0.41,0.42,0.41,0.42,4025
BAJFINANCE,2002-11-13,0.41,0.44,0.41,0.43,1282
BAJFINANCE,2002-11-14,0.43,0.43,0.42,0.43,887
BAJFINANCE,2002-11-15,0.41,0.44,0.39,0.42,1084
BAJFINANCE,2002-11-18,0.43,0.43,0.42,0.42,200
BAJFINANCE,2002-11-20,0.43,0.43,0.43,0.43,525
BAJFINANCE,2002-11-21,0.43,0.44,0.43,0.44,615
BAJFINANCE,2002-11-22,0.45,0.45,0.43,0.43,1750
BAJFINANCE,2002-11-25,0.43,0.47,0.43,0.44,2500
BAJFINANCE,2002-11-26,0.47,0.47,0.43,0.44,900
BAJFINANCE,2002-11-27,0.44,0.45,0.44,0.44,1080
BAJFINANCE,2002-11-28,0.44,0.44,0.43,0.44,1771
BAJFINANCE,2002-11-29,0.44,0.44,0.43,0.43,2350
BAJFINANCE,2002-12-02,0.43,0.46,0.43,0.46,13749
BAJFINANCE,2002-12-03,0.41,0.47,0.41,0.45,7354
BAJFINANCE,2002-12-04,0.47,0.47,0.44,0.45,812
BAJFINANCE,2002-12-05,0.45,0.46,0.45,0.45,304
BAJFINANCE,2002-12-06,0.45,0.45,0.44,0.45,520
BAJFINANCE,2002-12-09,0.45,0.45,0.44,0.44,1800
BAJFINANCE,2002-12-10,0.44,0.45,0.44,0.44,1325
BAJFINANCE,2002-12-11,0.44,0.45,0.44,0.44,4458
BAJFINANCE,2002-12-12,0.44,0.45,0.44,0.44,2753
BAJFINANCE,2002-12-13,0.44,0.45,0.44,0.45,700
BAJFINANCE,2002-12-16,0.45,0.45,0.44,0.45,825
BAJFINANCE,2002-12-17,0.44,0.44,0.44,0.44,8250
BAJFINANCE,2002-12-18,0.44,0.44,0.44,0.44,3779
BAJFINANCE,2002-12-19,0.44,0.44,0.43,0.44,950
BAJFINANCE,2002-12-20,0.43,0.44,0.43,0.44,700
BAJFINANCE,2002-12-23,0.44,0.44,0.43,0.44,700
BAJFINANCE,2002-12-24,0.43,0.44,0.43,0.43,755
BAJFINANCE,2002-12-26,0.43,0.44,0.43,0.44,4132
BAJFINANCE,2002-12-27,0.44,0.44,0.43,0.43,6320
BAJFINANCE,2002-12-30,0.44,0.44,0.43,0.43,2540
BAJFINANCE,2002-12-31,0.43,0.45,0.43,0.44,2145
BAJFINANCE,2003-01-01,0.45,0.45,0.44,0.45,3595
BAJFINANCE,2003-01-02,0.45,0.45,0.45,0.45,1975
BAJFINANCE,2003-01-03,0.44,0.45,0.44,0.45,761
BAJFINANCE,2003-01-06,0.42,0.45,0.42,0.44,809
BAJFINANCE,2003-01-07,0.43,0.45,0.43,0.45,1138
BAJFINANCE,2003-01-08,0.43,0.45,0.43,0.45,2659
BAJFINANCE,2003-01-09,0.44,0.45,0.43,0.44,5755
