symbol,date,open,high,low,close,volume
BHARTIARTL,2002-02-18,23.38,23.38,19.6,19.98,10381190
BHARTIARTL,2002-02-19,20.34,20.34,18.61,18.79,3552660
BHARTIARTL,2002-02-20,18.29,19.28,18.13,18.58,2512964
BHARTIARTL,2002-02-21,19.31,19.55,18.99,19.1,1338196
BHARTIARTL,2002-02-22,19.22,19.64,18.52,19.51,811327
BHARTIARTL,2002-02-25,20.5,20.5,19.22,19.28,454151
BHARTIARTL,2002-02-26,19.44,19.91,19.33,19.64,894960
BHARTIARTL,2002-02-27,19.8,20.86,19.71,20.12,3271361
BHARTIARTL,2002-02-28,20.72,21.09,18.38,18.7,4429634
BHARTIARTL,2002-03-01,18.92,19.55,18.83,19.15,942785
BHARTIARTL,2002-03-04,19.42,19.94,19.31,19.51,615152
BHARTIARTL,2002-03-05,19.91,20.5,19.69,20.41,1490137
BHARTIARTL,2002-03-06,20.68,21.04,20.18,20.32,1989742
BHARTIARTL,2002-03-07,20.68,20.68,20.16,20.25,675801
BHARTIARTL,2002-03-08,20.36,20.39,19.69,19.78,273519
BHARTIARTL,2002-03-11,20.05,20.45,19.42,19.51,217122
BHARTIARTL,2002-03-12,19.55,19.58,18.88,18.97,321384
BHARTIARTL,2002-03-13,18.97,19.22,18.7,18.88,228034
BHARTIARTL,2002-03-14,18.92,19.1,18.49,18.67,302924
BHARTIARTL,2002-03-15,18.92,19.15,18.63,18.9,402993
BHARTIARTL,2002-03-18,19.37,19.37,18.72,18.81,387469
BHARTIARTL,2002-03-19,18.97,19.33,18.2,18.34,505251
BHARTIARTL,2002-03-20,18.43,18.63,18.13,18.25,413147
BHARTIARTL,2002-03-21,18.29,18.47,18.2,18.29,171711
BHARTIARTL,2002-03-22,18.38,18.67,17.8,17.95,225579
BHARTIARTL,2002-03-26,18.36,18.36,17.53,17.57,190075
BHARTIARTL,2002-03-27,18.43,18.43,17.57,17.62,175456
BHARTIARTL,2002-03-28,17.66,17.73,17.12,17.37,247315
BHARTIARTL,2002-04-01,17.75,18.07,17.41,17.53,169309
BHARTIARTL,2002-04-02,17.55,17.57,16.69,16.81,401427
BHARTIARTL,2002-04-03,16.78,17.12,16.08,16.26,434081
BHARTIARTL,2002-04-04,16.62,17.77,16.44,17.39,461590
BHARTIARTL,2002-04-05,17.57,17.86,17.14,17.21,278024
BHARTIARTL,2002-04-08,17.48,17.57,16.67,16.74,264685
BHARTIARTL,2002-04-09,17.08,17.55,16.9,17.01,330822
BHARTIARTL,2002-04-10,17.12,17.12,16.4,16.74,393221
BHARTIARTL,2002-04-11,17.08,17.84,17.08,17.37,462716
BHARTIARTL,2002-04-12,17.28,17.3,16.85,17.01,365658
BHARTIARTL,2002-04-15,16.9,17.48,16.72,17.05,309167
BHARTIARTL,2002-04-16,17.12,17.3,17.01,17.05,207262
BHARTIARTL,2002-04-17,17.28,17.32,16.78,16.85,221096
BHARTIARTL,2002-04-18,17.08,17.1,16.81,16.9,125768
BHARTIARTL,2002-04-19,17.08,17.08,16.56,16.65,159582
BHARTIARTL,2002-04-22,17.03,17.03,16.47,16.53,209825
BHARTIARTL,2002-04-23,16.85,16.9,16.17,16.22,304296
BHARTIARTL,2002-04-24,16.31,16.62,16.31,16.56,153154
BHARTIARTL,2002-04-25,16.62,16.67,16.31,16.35,260518
BHARTIARTL,2002-04-26,16.29,16.53,16.08,16.17,324142
BHARTIARTL,2002-04-29,16.11,16.81,15.88,16.08,388628
BHARTIARTL,2002-04-30,16.04,16.22,15.72,15.77,267446
BHARTIARTL,2002-05-02,15.88,16.04,15.48,15.7,521349
BHARTIARTL,2002-05-03,15.77,15.77,15.27,15.36,418258
BHARTIARTL,2002-05-06,15.54,15.59,15.23,15.32,849209
BHARTIARTL,2002-05-07,15.23,15.41,15.23,15.34,614737
BHARTIARTL,2002-05-08,15.43,15.52,15.32,15.43,985787
BHARTIARTL,2002-05-09,15.97,16.78,15.54,16.13,889295
BHARTIARTL,2002-05-10,16.69,17.26,16.26,16.4,1040862
BHARTIARTL,2002-05-13,16.15,16.67,16.13,16.24,265570
BHARTIARTL,2002-05-14,16.35,16.47,15.88,16.02,259521
BHARTIARTL,2002-05-15,16.08,16.15,15.59,15.75,338589
BHARTIARTL,2002-05-16,15.88,15.88,15.41,15.57,367218
BHARTIARTL,2002-05-17,15.43,15.68,15.43,15.63,697619
BHARTIARTL,2002-05-20,15.34,15.52,14.96,15.16,846600
BHARTIARTL,2002-05-21,14.96,15.09,14.53,14.89,1188202
BHARTIARTL,2002-05-22,14.91,15.9,14.87,15.18,330183
BHARTIARTL,2002-05-23,15.3,15.3,14.78,14.87,268447
BHARTIARTL,2002-05-24,15.09,15.32,14.91,15.07,270784
BHARTIARTL,2002-05-27,15.41,15.41,14.89,14.96,154536
BHARTIARTL,2002-05-28,15.09,15.09,14.71,14.8,877260
BHARTIARTL,2002-05-29,14.69,15.09,14.53,14.6,358157
BHARTIARTL,2002-05-30,14.46,14.69,14.37,14.42,268915
BHARTIARTL,2002-05-31,14.64,14.67,14.24,14.51,126001
BHARTIARTL,2002-06-03,14.91,15.09,14.46,14.51,84769
BHARTIARTL,2002-06-04,14.87,15.09,14.42,14.82,860401
BHARTIARTL,2002-06-05,15.09,15.21,14.64,14.71,243850
BHARTIARTL,2002-06-06,15.05,16.29,14.87,16.06,740010
BHARTIARTL,2002-06-07,15.54,16.51,15.14,15.3,572510
BHARTIARTL,2002-06-10,15.66,15.7,15.12,15.21,362233
BHARTIARTL,2002-06-11,15.59,15.88,15.43,15.52,239454
BHARTIARTL,2002-06-12,15.54,15.66,15.09,15.14,290225
BHARTIARTL,2002-06-13,15.45,15.45,14.71,14.78,312706
BHARTIARTL,2002-06-14,14.89,15.23,14.89,15.07,207995
BHARTIARTL,2002-06-17,16.22,17.35,15.77,16.08,1078596
BHARTIARTL,2002-06-18,16.26,16.38,15.61,15.77,412009
BHARTIARTL,2002-06-19,15.77,15.9,15.32,15.39,241134
BHARTIARTL,2002-06-20,15.3,15.59,15.23,15.45,179642
BHARTIARTL,2002-06-21,15.81,15.81,15.21,15.27,199036
BHARTIARTL,2002-06-24,15.32,15.36,15.07,15.21,326210
BHARTIARTL,2002-06-25,15.48,15.48,14.96,15.21,153266
BHARTIARTL,2002-06-26,15.3,15.3,14.91,15.0,135128
BHARTIARTL,2002-06-27,15.09,15.18,15.0,15.05,117921
BHARTIARTL,2002-06-28,15.72,15.72,15.09,15.32,156815
BHARTIARTL,2002-07-01,15.34,15.99,15.09,15.68,381852
BHARTIARTL,2002-07-02,15.09,16.04,15.09,15.99,304839
BHARTIARTL,2002-07-03,16.22,16.22,15.75,15.84,258959
BHARTIARTL,2002-07-04,16.11,16.33,15.88,16.22,517457
BHARTIARTL,2002-07-05,15.79,15.97,15.32,15.41,407041
BHARTIARTL,2002-07-08,15.43,15.63,15.21,15.32,257784
BHARTIARTL,2002-07-09,15.45,15.48,15.07,15.12,296310
BHARTIARTL,2002-07-10,15.41,15.52,15.03,15.07,378638
BHARTIARTL,2002-07-11,15.32,15.32,14.64,14.69,498249
BHARTIARTL,2002-07-12,14.96,14.96,14.39,14.46,546586
BHARTIARTL,2002-07-15,14.42,14.57,14.26,14.33,276326
BHARTIARTL,2002-07-16,13.94,14.42,13.94,14.3,220883
BHARTIARTL,2002-07-17,14.24,14.39,13.99,14.08,220988
BHARTIARTL,2002-07-18,14.46,14.53,14.19,14.24,111224
BHARTIARTL,2002-07-19,14.37,14.39,14.19,14.24,123345
BHARTIARTL,2002-07-22,14.33,14.37,13.97,14.17,194096
BHARTIARTL,2002-07-23,14.19,14.19,13.76,14.01,218885
BHARTIARTL,2002-07-24,14.06,14.06,13.74,13.88,112715
BHARTIARTL,2002-07-25,14.19,14.42,14.03,14.06,177297
BHARTIARTL,2002-07-26,13.79,13.97,13.58,13.74,197183
BHARTIARTL,2002-07-29,14.19,14.19,13.63,13.74,221387
BHARTIARTL,2002-07-30,14.19,14.19,13.67,13.72,210715
BHARTIARTL,2002-07-31,13.74,14.24,13.2,14.12,427374
BHARTIARTL,2002-08-01,13.97,14.01,13.47,13.63,277918
BHARTIARTL,2002-08-02,13.56,13.65,13.43,13.58,126344
BHARTIARTL,2002-08-05,13.65,13.74,13.56,13.61,59909
BHARTIARTL,2002-08-06,13.67,13.67,13.47,13.52,121860
BHARTIARTL,2002-08-07,13.72,13.76,13.43,13.52,132852
BHARTIARTL,2002-08-08,13.67,13.67,13.45,13.52,82212
BHARTIARTL,2002-08-09,13.49,13.61,13.45,13.52,101452
BHARTIARTL,2002-08-12,13.52,13.65,13.43,13.63,74424
BHARTIARTL,2002-08-13,13.58,13.74,13.52,13.67,31836
BHARTIARTL,2002-08-14,13.58,13.74,13.58,13.65,37079
BHARTIARTL,2002-08-16,13.74,14.3,13.63,14.12,148689
BHARTIARTL,2002-08-19,14.06,14.64,13.88,14.53,171638
BHARTIARTL,2002-08-20,14.78,15.14,14.46,14.91,298633
BHARTIARTL,2002-08-21,15.21,15.21,14.42,14.98,125197
BHARTIARTL,2002-08-22,15.09,15.09,14.48,14.55,85556
BHARTIARTL,2002-08-23,14.64,14.87,14.46,14.67,77472
BHARTIARTL,2002-08-26,14.78,14.87,14.51,14.57,43662
BHARTIARTL,2002-08-27,14.57,14.67,14.44,14.46,58757
BHARTIARTL,2002-08-28,14.55,14.55,14.17,14.39,80606
BHARTIARTL,2002-08-29,14.42,14.46,13.99,14.01,59884
BHARTIARTL,2002-08-30,13.97,14.82,13.9,14.64,214136
BHARTIARTL,2002-09-02,14.87,15.25,14.71,14.85,207295
BHARTIARTL,2002-09-03,14.76,14.76,14.46,14.62,94889
BHARTIARTL,2002-09-04,14.42,15.14,14.42,14.82,177676
BHARTIARTL,2002-09-05,15.0,15.09,14.82,14.87,112637
BHARTIARTL,2002-09-06,15.09,15.09,14.55,14.64,105028
BHARTIARTL,2002-09-09,14.46,14.82,14.3,14.35,201523
BHARTIARTL,2002-09-11,14.69,14.69,14.28,14.37,38624
BHARTIARTL,2002-09-12,14.42,15.45,14.33,14.64,253743
BHARTIARTL,2002-09-13,14.85,15.54,14.64,15.34,1269675
BHARTIARTL,2002-09-16,15.41,15.93,14.62,15.43,493652
BHARTIARTL,2002-09-17,15.66,15.79,15.32,15.7,1196452
BHARTIARTL,2002-09-18,15.72,15.88,15.39,15.45,194907
BHARTIARTL,2002-09-19,15.14,15.77,13.81,14.15,3223173
BHARTIARTL,2002-09-20,14.19,15.39,13.97,15.18,572997
BHARTIARTL,2002-09-23,15.25,15.27,14.64,14.71,77977
BHARTIARTL,2002-09-24,14.64,14.64,13.97,14.03,472313
BHARTIARTL,2002-09-25,13.97,14.69,13.92,14.26,338969
BHARTIARTL,2002-09-26,14.19,14.46,14.06,14.12,151451
BHARTIARTL,2002-09-27,14.37,14.57,14.08,14.42,134502
BHARTIARTL,2002-09-30,14.42,14.42,14.06,14.1,92504
BHARTIARTL,2002-10-01,14.19,14.48,14.12,14.44,182073
BHARTIARTL,2002-10-03,14.51,14.51,14.08,14.42,123567
BHARTIARTL,2002-10-04,14.51,14.51,14.3,14.44,108118
BHARTIARTL,2002-10-07,14.39,14.46,14.19,14.35,135318
BHARTIARTL,2002-10-08,14.44,16.65,14.1,14.42,282030
