symbol,date,open,high,low,close,volume,adj_close
BKNG,1999-03-31,451.5,517.5,438.0,497.25,1322933,490.18072509765625
BKNG,1999-04-01,550.5,552.0,475.5,483.0,483233,476.13330078125
BKNG,1999-04-05,501.0,504.0,435.0,450.75,324917,444.34185791015625
BKNG,1999-04-06,452.25,484.125,420.0,474.0,353900,467.26129150390625
BKNG,1999-04-07,480.75,487.5,442.5,447.0,156617,440.64508056640625
BKNG,1999-04-08,447.0,450.75,423.75,435.0,147767,428.81573486328125
BKNG,1999-04-09,432.0,456.0,406.5,444.0,141933,437.68780517578125
BKNG,1999-04-12,420.75,475.5,414.0,459.375,182833,452.8442077636719
BKNG,1999-04-13,472.5,515.25,463.5,489.0,240033,482.0480041503906
BKNG,1999-04-14,554.25,595.5,510.0,558.75,627933,550.8063354492188
BKNG,1999-04-15,564.0,564.0,459.0,479.25,339117,472.4366455078125
BKNG,1999-04-16,486.0,510.0,438.0,488.25,176683,481.3087158203125
BKNG,1999-04-19,490.5,492.0,348.0,359.25,229150,354.14263916015625
BKNG,1999-04-20,359.25,414.0,348.0,405.75,264100,399.9815673828125
BKNG,1999-04-21,429.0,456.0,405.75,447.0,150483,440.64508056640625
BKNG,1999-04-22,486.375,490.5,441.0,458.25,145683,451.7351989746094
BKNG,1999-04-23,516.375,574.5,492.0,528.0,741767,520.4935913085938
BKNG,1999-04-26,626.625,728.625,604.5,724.5,1352367,714.1998901367188
BKNG,1999-04-27,738.75,840.0,720.75,778.125,1196750,767.0626220703125
BKNG,1999-04-28,749.625,806.625,696.0,726.0,448867,715.6785888671875
BKNG,1999-04-29,690.375,833.25,690.0,826.875,721900,815.1195068359375
BKNG,1999-04-30,909.0,990.0,810.0,974.25,845467,960.3993530273438
BKNG,1999-05-03,914.625,953.25,833.25,835.5,873317,823.6219482421875
BKNG,1999-05-04,855.75,900.0,783.75,804.0,692750,792.56982421875
BKNG,1999-05-05,847.125,912.0,720.75,907.125,1264033,894.2285766601562
BKNG,1999-05-06,888.0,912.0,827.25,836.625,632083,824.7308959960938
BKNG,1999-05-07,865.5,865.875,777.75,783.9375,569683,772.79248046875
BKNG,1999-05-10,768.0,791.25,726.0,768.0,449167,757.08154296875
BKNG,1999-05-11,807.0,808.5,738.0,738.0,286467,727.508056640625
BKNG,1999-05-12,736.5,774.0,732.0,756.0,240517,745.252197265625
BKNG,1999-05-13,779.25,792.0,726.0,729.0,187167,718.6360473632812
BKNG,1999-05-14,720.0,807.0,714.0,796.875,792600,785.5460815429688
BKNG,1999-05-17,789.0,793.875,744.0,790.5,341400,779.2616577148438
BKNG,1999-05-18,787.5,838.5,766.125,816.75,418517,805.1384887695312
BKNG,1999-05-19,820.5,865.5,808.5,855.0,226583,842.8446044921875
BKNG,1999-05-20,869.625,870.0,786.75,806.25,174400,794.7877807617188
BKNG,1999-05-21,871.875,874.5,822.0,833.625,553733,821.7736206054688
BKNG,1999-05-24,829.5,833.25,726.75,752.0625,314600,741.37060546875
BKNG,1999-05-25,726.0,776.25,618.0,624.0,540600,615.1287231445312
BKNG,1999-05-26,651.0,690.0,582.0,682.6875,691100,672.98193359375
BKNG,1999-05-27,676.5,702.0,654.375,664.875,273617,655.422607421875
BKNG,1999-05-28,642.0,673.5,636.0,672.1875,194833,662.6311645507812
BKNG,1999-06-01,657.75,663.0,585.0,596.625,353983,588.1429443359375
BKNG,1999-06-02,577.5,634.125,534.75,557.4375,748050,549.5125732421875
BKNG,1999-06-03,560.25,575.25,504.0,504.75,448450,497.5741271972656
BKNG,1999-06-04,507.0,553.5,500.25,541.875,431817,534.17138671875
BKNG,1999-06-07,555.0,657.0,549.75,609.0,738183,600.3419799804688
BKNG,1999-06-08,629.25,666.0,609.75,625.5,560267,616.607421875
BKNG,1999-06-09,639.75,653.25,617.25,630.0,224783,621.04345703125
BKNG,1999-06-10,604.125,624.75,600.0,613.5,290533,604.7780151367188
BKNG,1999-06-11,624.0,637.5,570.0,574.125,268367,565.9628295898438
BKNG,1999-06-14,564.0,564.0,459.0,461.25,534317,454.6925964355469
BKNG,1999-06-15,456.75,505.875,448.5,470.625,544217,463.9342346191406
BKNG,1999-06-16,510.0,540.0,502.5,531.0,522133,523.450927734375
BKNG,1999-06-17,525.0,570.0,502.125,533.625,439050,526.0386352539062
BKNG,1999-06-18,548.25,571.125,546.0,564.0,257800,555.9817504882812
BKNG,1999-06-21,574.5,655.5,571.5,637.875,484800,628.8065795898438
BKNG,1999-06-22,654.375,716.625,634.5,652.5,766100,643.2236328125
BKNG,1999-06-23,624.0,683.625,624.0,665.25,435500,655.7923583984375
BKNG,1999-06-24,649.5,657.0,612.0,612.0,314117,603.2993774414062
BKNG,1999-06-25,632.625,644.25,573.0,574.5,380433,566.3324584960938
BKNG,1999-06-28,594.0,633.75,552.0,633.0,444450,624.0009155273438
BKNG,1999-06-29,618.75,666.0,614.625,645.0,384483,635.8302612304688
BKNG,1999-06-30,637.5,714.0,625.5,693.375,437417,683.5174560546875
BKNG,1999-07-01,701.25,710.25,643.5,645.0,329517,635.8302612304688
BKNG,1999-07-02,654.0,681.0,654.0,669.0,183617,659.489013671875
BKNG,1999-07-06,681.375,703.125,672.0,672.0,314250,662.4462280273438
BKNG,1999-07-07,678.0,678.0,639.0,666.0,274083,656.5316772460938
BKNG,1999-07-08,677.25,697.5,657.0,664.125,294800,654.6832885742188
BKNG,1999-07-09,672.375,678.0,650.25,654.0,116600,644.7023315429688
BKNG,1999-07-12,655.875,660.0,624.0,629.0625,143467,620.1192626953125
BKNG,1999-07-13,604.875,626.25,600.0,618.75,145050,609.9534301757812
BKNG,1999-07-14,621.75,636.0,619.5,625.5,103967,616.607421875
BKNG,1999-07-15,626.25,633.0,600.0,606.75,107133,598.1239624023438
BKNG,1999-07-16,601.5,609.0,582.0,584.4375,160617,576.1287231445312
BKNG,1999-07-19,633.0,648.0,585.0,585.9375,464333,577.6073608398438
BKNG,1999-07-20,572.25,576.0,546.0,549.375,278400,541.5647583007812
BKNG,1999-07-21,550.875,551.25,519.0,529.3125,303617,521.787353515625
BKNG,1999-07-22,522.375,528.0,498.0,501.375,228600,494.2470703125
BKNG,1999-07-23,501.75,514.5,480.375,487.125,281617,480.1996765136719
BKNG,1999-07-26,478.875,495.75,465.0,469.125,268383,462.4555969238281
BKNG,1999-07-27,484.5,486.0,440.625,441.9375,352817,435.6545715332031
BKNG,1999-07-28,462.0,513.0,450.0,510.0,578900,502.7494812011719
BKNG,1999-07-29,486.75,492.0,465.0,483.0,333083,476.13330078125
BKNG,1999-07-30,489.0,490.5,450.0,453.375,208083,446.9295349121094
BKNG,1999-08-02,451.875,485.25,438.0,465.0,324467,458.3891906738281
BKNG,1999-08-03,474.0,477.0,426.75,438.375,302050,432.1427307128906
BKNG,1999-08-04,435.0,444.75,396.0,397.5,367850,391.8488464355469
BKNG,1999-08-05,386.25,478.5,354.0,468.75,801383,462.0859375
BKNG,1999-08-06,460.5,505.875,440.25,446.25,422067,439.90576171875
BKNG,1999-08-09,453.0,461.625,417.75,420.0,222100,414.02899169921875
BKNG,1999-08-10,410.25,451.125,396.0,430.5,432800,424.37969970703125
BKNG,1999-08-11,453.0,457.5,414.0,420.0,410583,414.02899169921875
BKNG,1999-08-12,408.75,426.75,401.625,403.875,820100,398.1331481933594
BKNG,1999-08-13,421.125,423.75,391.5,399.0,321433,393.3275451660156
BKNG,1999-08-16,401.25,423.0,400.5,412.5,343200,406.6356201171875
BKNG,1999-08-17,420.0,433.5,408.0,420.375,333700,414.398681640625
BKNG,1999-08-18,432.75,449.25,420.75,424.5,388700,418.4649963378906
BKNG,1999-08-19,416.25,423.0,398.25,399.0,332800,393.3275451660156
BKNG,1999-08-20,402.0,409.5,393.75,406.5,205217,400.72088623046875
BKNG,1999-08-23,411.75,430.5,402.0,402.375,272467,396.654541015625
BKNG,1999-08-24,401.25,417.0,394.5,405.75,309367,399.9815673828125
BKNG,1999-08-25,408.75,418.125,385.5,391.125,336300,385.5644836425781
BKNG,1999-08-26,412.5,449.25,411.0,435.75,855783,429.5550842285156
BKNG,1999-08-27,449.25,456.0,420.75,441.0,395150,434.73040771484375
BKNG,1999-08-30,441.75,441.75,399.0,401.0625,280867,395.36065673828125
BKNG,1999-08-31,408.0,417.0,396.0,408.75,258167,402.9389343261719
BKNG,1999-09-01,420.75,423.0,393.0,393.5625,265400,387.96728515625
