symbol,date,open,high,low,close,volume
BPCL,2000-01-03,16.88,16.96,16.38,16.64,8720
BPCL,2000-01-04,16.57,16.57,15.31,15.44,22820
BPCL,2000-01-05,14.58,16.04,14.58,15.0,152538
BPCL,2000-01-06,15.08,16.0,15.08,15.85,59554
BPCL,2000-01-07,15.38,16.25,15.25,15.83,43187
BPCL,2000-01-10,15.83,16.44,15.83,16.04,52234
BPCL,2000-01-11,16.04,16.04,15.25,15.53,17112
BPCL,2000-01-12,15.83,15.92,15.63,15.75,5783
BPCL,2000-01-13,15.83,15.83,15.54,15.67,2297
BPCL,2000-01-14,15.75,15.92,15.54,15.6,18856
BPCL,2000-01-17,15.79,15.79,15.5,15.66,133538
BPCL,2000-01-18,15.63,16.33,15.55,15.86,39481
BPCL,2000-01-19,15.89,16.24,15.63,15.7,41115
BPCL,2000-01-20,15.67,15.75,15.38,15.47,25740
BPCL,2000-01-21,15.52,15.52,15.29,15.39,5960
BPCL,2000-01-24,16.04,16.04,14.67,14.8,6035
BPCL,2000-01-25,14.58,15.0,14.38,14.52,52396
BPCL,2000-01-27,14.79,15.69,14.59,15.25,135737
BPCL,2000-01-28,14.06,16.35,14.06,15.64,79935
BPCL,2000-01-31,15.42,16.04,15.42,15.93,31151
BPCL,2000-02-01,15.83,16.25,15.67,15.79,60620
BPCL,2000-02-02,16.0,17.04,15.94,16.68,168656
BPCL,2000-02-03,16.67,16.88,15.35,15.91,93248
BPCL,2000-02-04,16.38,16.38,15.3,15.45,24934
BPCL,2000-02-07,16.04,16.04,15.01,15.35,7598
BPCL,2000-02-08,15.41,15.42,14.2,14.74,34263
BPCL,2000-02-09,15.38,15.92,14.67,15.86,131659
BPCL,2000-02-10,15.35,15.6,14.6,14.6,38342
BPCL,2000-02-11,15.0,15.0,13.43,13.65,24900
BPCL,2000-02-14,13.71,14.75,13.33,14.67,51815
BPCL,2000-02-15,15.75,15.75,13.5,13.87,26628
BPCL,2000-02-16,14.08,14.29,13.54,13.75,16520
BPCL,2000-02-17,13.75,13.85,13.42,13.66,13720
BPCL,2000-02-18,13.67,13.75,12.57,12.57,25578
BPCL,2000-02-21,12.1,12.92,12.1,12.25,42975
BPCL,2000-02-22,12.25,12.25,11.27,11.27,95547
BPCL,2000-02-23,11.29,11.71,10.37,11.02,111321
BPCL,2000-02-24,10.83,11.38,10.67,11.25,25201
BPCL,2000-02-25,11.33,11.46,11.18,11.25,40042
BPCL,2000-02-28,11.64,12.15,11.21,12.15,17847
BPCL,2000-02-29,13.08,13.12,11.25,11.43,38312
BPCL,2000-03-01,12.19,12.19,11.46,11.5,27110
BPCL,2000-03-02,11.46,12.08,10.58,10.72,25885
BPCL,2000-03-03,10.63,10.63,10.0,10.39,34273
BPCL,2000-03-06,10.4,10.46,9.56,9.56,45798
BPCL,2000-03-07,9.42,9.79,8.8,8.8,13238
BPCL,2000-03-08,8.25,8.66,8.13,8.16,35905
BPCL,2000-03-09,8.25,8.5,7.71,8.25,106261
BPCL,2000-03-10,8.25,8.53,8.05,8.28,81470
BPCL,2000-03-13,8.29,8.54,8.13,8.29,32262
BPCL,2000-03-14,8.29,8.93,8.21,8.87,27423
BPCL,2000-03-15,9.06,9.58,8.92,9.32,187769
BPCL,2000-03-16,9.38,9.46,8.96,9.29,10086
BPCL,2000-03-21,9.33,10.03,9.17,10.02,32314
BPCL,2000-03-22,10.0,10.75,9.96,10.64,39155
BPCL,2000-03-23,9.96,11.06,9.96,10.92,20951
BPCL,2000-03-24,10.58,10.84,10.05,10.22,26970
BPCL,2000-03-27,9.92,10.42,9.4,9.41,11052
BPCL,2000-03-28,9.54,10.16,9.17,10.16,12636
BPCL,2000-03-29,10.83,10.98,10.65,10.92,31791
BPCL,2000-03-30,10.63,10.67,10.23,10.5,63111
BPCL,2000-03-31,10.46,11.17,10.21,10.85,17685
BPCL,2000-04-03,11.13,11.72,11.01,11.72,13580
BPCL,2000-04-04,11.46,11.57,10.96,11.19,46389
BPCL,2000-04-05,11.09,11.25,10.42,10.8,16945
BPCL,2000-04-06,10.83,10.83,10.05,10.61,15271
BPCL,2000-04-07,10.83,11.46,10.83,11.36,19560
BPCL,2000-04-10,11.46,11.58,11.13,11.19,17003
BPCL,2000-04-11,10.83,11.33,10.65,11.18,18464
BPCL,2000-04-12,11.13,11.25,10.83,10.9,10655
BPCL,2000-04-13,10.42,11.25,10.33,10.85,31256
BPCL,2000-04-17,10.01,10.83,10.01,10.31,18370
BPCL,2000-04-18,10.42,10.42,9.9,9.99,26758
BPCL,2000-04-19,10.58,10.58,9.19,9.28,65451
BPCL,2000-04-20,9.25,9.25,8.54,8.72,97285
BPCL,2000-04-24,8.75,8.75,8.5,8.54,47957
BPCL,2000-04-25,8.46,8.46,8.08,8.18,119196
BPCL,2000-04-26,8.43,8.43,8.17,8.22,116583
BPCL,2000-04-27,8.33,8.48,7.64,7.94,47872
BPCL,2000-04-28,7.88,7.92,7.31,7.31,77446
BPCL,2000-05-02,7.42,7.42,6.43,6.44,77366
BPCL,2000-05-03,6.19,7.17,6.19,6.79,115371
BPCL,2000-05-04,6.88,7.15,6.66,7.03,87834
BPCL,2000-05-05,7.04,7.04,6.59,6.73,171444
BPCL,2000-05-08,6.67,6.85,6.46,6.51,59517
BPCL,2000-05-09,6.44,6.67,6.3,6.62,48607
BPCL,2000-05-10,6.75,6.85,6.6,6.75,69853
BPCL,2000-05-11,6.77,6.77,6.58,6.65,612287
BPCL,2000-05-12,6.55,6.67,6.47,6.56,276723
BPCL,2000-05-15,6.48,6.63,6.38,6.41,432734
BPCL,2000-05-16,6.52,6.75,6.46,6.68,28400
BPCL,2000-05-17,7.08,7.46,6.84,7.14,114769
BPCL,2000-05-18,7.17,8.0,7.0,8.0,132289
BPCL,2000-05-19,8.04,8.24,7.17,7.59,283556
BPCL,2000-05-22,7.29,7.79,7.29,7.75,47464
BPCL,2000-05-23,7.6,8.08,7.54,7.88,42377
BPCL,2000-05-24,7.92,8.83,7.92,8.83,78696
BPCL,2000-05-25,9.0,9.89,8.79,9.56,139832
BPCL,2000-05-26,9.5,10.25,9.33,10.02,148174
BPCL,2000-05-29,10.17,10.33,9.83,10.01,76755
BPCL,2000-05-30,10.0,10.0,9.28,9.57,265575
BPCL,2000-05-31,9.58,9.58,8.46,8.56,90191
BPCL,2000-06-01,8.17,8.21,7.53,7.54,267656
BPCL,2000-06-02,7.58,7.87,7.54,7.62,161907
BPCL,2000-06-05,7.7,8.54,7.7,8.14,177568
BPCL,2000-06-06,8.02,8.23,7.88,8.14,43286
BPCL,2000-06-07,8.29,8.79,8.29,8.65,114902
BPCL,2000-06-08,8.71,9.16,8.58,8.97,59543
BPCL,2000-06-09,9.08,9.08,8.81,9.04,47101
BPCL,2000-06-12,9.04,9.05,8.58,8.93,39238
BPCL,2000-06-13,9.08,9.2,8.79,9.1,46149
BPCL,2000-06-14,9.17,9.33,9.0,9.05,16062
BPCL,2000-06-15,8.88,8.96,8.75,8.84,10427
BPCL,2000-06-16,8.68,8.98,8.68,8.9,21139
BPCL,2000-06-19,8.89,9.17,8.88,9.0,17254
