symbol,date,open,high,low,close,volume
DRREDDY,2000-01-03,37.63,37.71,37.63,37.71,13280
DRREDDY,2000-01-04,39.75,40.72,37.75,40.72,57142
DRREDDY,2000-01-05,38.73,41.25,37.48,39.2,119697
DRREDDY,2000-01-06,39.98,42.34,39.28,41.54,121966
DRREDDY,2000-01-07,42.13,42.13,38.22,38.23,79641
DRREDDY,2000-01-10,39.0,39.0,35.19,37.6,62612
DRREDDY,2000-01-11,37.8,38.23,34.6,36.17,89184
DRREDDY,2000-01-12,36.5,38.5,36.5,37.27,31611
DRREDDY,2000-01-13,37.13,38.63,36.53,36.94,39753
DRREDDY,2000-01-14,36.75,37.75,35.3,36.84,46272
DRREDDY,2000-01-17,37.88,39.25,37.38,37.72,67750
DRREDDY,2000-01-18,36.88,36.88,35.78,36.26,44008
DRREDDY,2000-01-19,37.25,39.16,36.63,39.16,77430
DRREDDY,2000-01-20,40.0,41.24,37.88,38.43,225319
DRREDDY,2000-01-21,39.5,39.5,38.25,38.79,57911
DRREDDY,2000-01-24,39.5,39.75,37.75,38.03,54652
DRREDDY,2000-01-25,37.0,37.98,36.13,36.35,77439
DRREDDY,2000-01-27,37.13,38.73,36.5,36.76,114477
DRREDDY,2000-01-28,37.1,37.3,35.25,35.72,78901
DRREDDY,2000-01-31,36.0,36.25,33.75,34.17,39291
DRREDDY,2000-02-01,33.75,35.48,33.33,35.01,88075
DRREDDY,2000-02-02,36.48,37.81,36.25,37.4,104003
DRREDDY,2000-02-03,37.75,38.37,37.0,37.26,35746
DRREDDY,2000-02-04,37.75,38.75,36.65,37.03,29143
DRREDDY,2000-02-07,36.13,36.55,34.07,34.1,75093
DRREDDY,2000-02-08,33.0,35.0,33.0,34.7,69268
DRREDDY,2000-02-09,37.03,37.03,35.0,35.33,37295
DRREDDY,2000-02-10,35.0,35.75,34.98,35.46,13794
DRREDDY,2000-02-11,35.79,35.79,34.53,35.31,24390
DRREDDY,2000-02-14,34.65,35.25,33.75,34.05,22131
DRREDDY,2000-02-15,33.75,34.75,33.13,33.77,42801
DRREDDY,2000-02-16,33.88,34.98,33.88,34.48,16216
DRREDDY,2000-02-17,35.05,37.24,35.05,37.24,8828
DRREDDY,2000-02-18,40.22,40.22,40.22,40.22,51904
DRREDDY,2000-02-21,42.5,43.03,38.53,39.33,88857
DRREDDY,2000-02-22,38.5,39.48,36.53,36.83,63311
DRREDDY,2000-02-23,39.38,39.77,38.88,39.77,48977
DRREDDY,2000-02-24,41.23,41.24,37.5,39.22,49819
DRREDDY,2000-02-25,39.5,40.0,38.35,38.88,44068
DRREDDY,2000-02-28,39.25,41.99,38.83,41.74,118657
DRREDDY,2000-02-29,42.5,45.08,38.4,38.75,110112
DRREDDY,2000-03-01,39.5,39.5,35.65,38.17,256491
DRREDDY,2000-03-02,38.73,38.75,35.12,35.15,92002
DRREDDY,2000-03-03,33.75,33.75,32.33,32.33,87171
DRREDDY,2000-03-06,32.5,34.0,31.91,32.84,80414
DRREDDY,2000-03-07,32.5,35.47,32.05,35.43,103067
DRREDDY,2000-03-08,36.22,36.22,32.6,32.88,50355
DRREDDY,2000-03-09,32.75,33.23,30.25,30.25,53164
DRREDDY,2000-03-10,31.25,32.67,30.05,32.66,58059
DRREDDY,2000-03-13,33.75,35.27,33.75,35.27,15205
DRREDDY,2000-03-14,37.0,38.1,36.13,38.1,76430
DRREDDY,2000-03-15,40.45,41.15,38.38,39.26,148160
DRREDDY,2000-03-16,38.63,38.63,36.12,36.14,58404
DRREDDY,2000-03-21,37.0,39.04,36.73,39.03,76286
DRREDDY,2000-03-22,40.0,42.15,40.0,42.15,62767
DRREDDY,2000-03-23,44.95,44.95,38.78,40.2,180393
DRREDDY,2000-03-24,39.03,42.43,38.73,41.29,69655
DRREDDY,2000-03-27,42.0,43.73,40.13,43.05,65475
DRREDDY,2000-03-28,42.5,42.5,39.6,39.6,37040
DRREDDY,2000-03-29,39.5,39.5,36.44,36.44,63832
DRREDDY,2000-03-30,35.13,38.5,34.13,37.83,130023
DRREDDY,2000-03-31,35.38,40.85,35.38,40.81,165627
DRREDDY,2000-04-03,40.88,42.93,38.0,38.73,182077
DRREDDY,2000-04-04,37.88,38.75,35.64,35.64,96542
DRREDDY,2000-04-05,35.65,37.95,35.25,36.1,81409
DRREDDY,2000-04-06,36.98,37.48,33.25,35.56,76153
DRREDDY,2000-04-07,36.7,38.41,36.13,38.38,133646
DRREDDY,2000-04-10,39.13,41.32,39.13,40.71,195456
DRREDDY,2000-04-11,39.63,40.5,38.75,40.15,61289
DRREDDY,2000-04-12,40.13,40.13,38.78,39.16,37954
DRREDDY,2000-04-13,38.78,39.74,37.03,38.92,81538
