symbol,date,open,high,low,close,volume
HCLTECH,2000-01-11,96.88,107.81,93.25,97.15,1192200
HCLTECH,2000-01-12,97.5,104.93,97.5,104.93,344850
HCLTECH,2000-01-13,111.88,113.33,111.31,113.33,53000
HCLTECH,2000-01-14,122.39,122.39,114.69,122.39,270950
HCLTECH,2000-01-17,132.19,132.19,112.6,112.6,428800
HCLTECH,2000-01-18,108.16,113.44,103.6,110.91,359900
HCLTECH,2000-01-19,113.44,118.06,110.0,115.7,316050
HCLTECH,2000-01-20,116.56,116.56,109.38,109.87,204700
HCLTECH,2000-01-21,110.06,113.44,106.56,111.33,282150
HCLTECH,2000-01-24,114.68,120.24,112.19,120.24,328650
HCLTECH,2000-01-25,124.38,129.87,124.38,129.87,313500
HCLTECH,2000-01-27,139.99,139.99,122.81,130.04,352400
HCLTECH,2000-01-28,131.25,140.31,126.26,137.31,360800
HCLTECH,2000-01-31,131.94,137.5,126.33,126.9,217650
HCLTECH,2000-02-01,123.83,136.25,123.83,135.14,261000
HCLTECH,2000-02-02,141.25,141.25,125.63,126.52,326550
HCLTECH,2000-02-03,129.69,129.69,119.7,122.28,175800
HCLTECH,2000-02-04,124.56,129.0,122.81,124.16,176500
HCLTECH,2000-02-07,124.06,132.5,122.5,128.93,277850
HCLTECH,2000-02-08,128.09,128.75,123.13,124.95,199100
HCLTECH,2000-02-09,131.25,131.25,123.44,124.94,180500
HCLTECH,2000-02-10,123.54,125.93,122.81,124.8,76850
HCLTECH,2000-02-11,124.88,134.78,124.5,134.78,166150
HCLTECH,2000-02-14,137.44,145.57,137.44,145.29,265150
HCLTECH,2000-02-15,146.88,156.92,138.13,156.78,224500
HCLTECH,2000-02-16,160.0,160.0,144.23,151.44,260850
HCLTECH,2000-02-17,152.81,163.56,148.75,163.42,276550
HCLTECH,2000-02-18,175.0,176.49,172.53,173.5,173400
HCLTECH,2000-02-21,176.44,187.38,170.31,176.2,151800
HCLTECH,2000-02-22,175.0,179.69,165.75,168.77,88250
HCLTECH,2000-02-23,176.56,179.38,155.27,159.3,71250
HCLTECH,2000-02-24,160.63,165.63,152.81,154.01,67350
HCLTECH,2000-02-25,156.13,158.75,142.5,144.83,72050
HCLTECH,2000-02-28,137.5,143.75,133.25,141.42,67550
HCLTECH,2000-02-29,145.31,146.88,130.11,130.11,85100
HCLTECH,2000-03-01,125.0,140.52,119.7,140.52,217400
HCLTECH,2000-03-02,149.94,151.76,146.88,151.76,73000
HCLTECH,2000-03-03,163.68,163.91,146.88,152.73,144050
