symbol,date,open,high,low,close,volume
HDFCBANK,2000-01-03,17.75,17.75,15.4,17.0,2046
HDFCBANK,2000-01-04,16.0,17.4,16.0,16.64,1990
HDFCBANK,2000-01-05,16.75,17.2,16.13,16.18,1906
HDFCBANK,2000-01-06,16.58,17.4,16.5,16.7,6671
HDFCBANK,2000-01-07,16.8,17.02,16.0,16.2,4448
HDFCBANK,2000-01-10,16.25,16.75,16.25,16.61,2606
HDFCBANK,2000-01-11,16.43,16.65,15.3,15.43,5805
HDFCBANK,2000-01-12,16.5,16.65,16.05,16.64,2322
HDFCBANK,2000-01-13,17.7,17.85,16.9,17.02,3791
HDFCBANK,2000-01-14,16.75,17.5,16.75,17.12,1376
HDFCBANK,2000-01-17,17.0,17.0,16.6,16.87,1626
HDFCBANK,2000-01-18,16.6,16.69,16.25,16.51,2260
HDFCBANK,2000-01-19,16.5,17.0,15.75,16.81,8585
HDFCBANK,2000-01-20,16.16,16.7,15.8,16.47,22742
HDFCBANK,2000-01-21,16.5,16.72,16.26,16.4,72918
HDFCBANK,2000-01-24,16.5,16.5,15.56,15.93,13780
HDFCBANK,2000-01-25,16.0,16.0,15.36,15.59,2950
HDFCBANK,2000-01-27,15.45,15.88,15.45,15.7,1560
HDFCBANK,2000-01-28,15.5,15.8,15.4,15.72,1555
HDFCBANK,2000-01-31,15.45,15.45,14.51,14.57,1665
HDFCBANK,2000-02-01,14.95,15.0,14.25,14.59,2105
HDFCBANK,2000-02-02,15.5,15.5,14.55,14.81,3925
HDFCBANK,2000-02-03,14.5,14.85,14.4,14.5,910
HDFCBANK,2000-02-04,14.56,14.74,14.45,14.67,1551
HDFCBANK,2000-02-07,14.05,14.45,13.65,13.98,1877
HDFCBANK,2000-02-08,14.25,14.25,13.56,13.8,2990
HDFCBANK,2000-02-09,14.0,14.0,13.5,13.75,11480
HDFCBANK,2000-02-10,14.0,14.85,14.0,14.83,3206
HDFCBANK,2000-02-11,14.65,14.8,13.75,14.0,3345
HDFCBANK,2000-02-14,14.35,14.35,13.76,13.8,2444
HDFCBANK,2000-02-15,13.5,14.0,13.5,13.83,3805
HDFCBANK,2000-02-16,14.0,14.5,13.95,14.0,1600
HDFCBANK,2000-02-17,14.35,14.35,13.76,14.04,1156
HDFCBANK,2000-02-18,14.5,14.5,13.55,13.95,1175
HDFCBANK,2000-02-21,13.65,14.0,13.55,14.0,2689
HDFCBANK,2000-02-22,13.66,14.16,13.66,13.77,3204
HDFCBANK,2000-02-23,13.85,14.5,13.36,13.55,2505
HDFCBANK,2000-02-24,13.95,14.25,13.6,13.73,2300
HDFCBANK,2000-02-25,13.75,14.45,13.4,13.65,3309
HDFCBANK,2000-02-28,13.4,14.5,13.25,14.15,2001
HDFCBANK,2000-02-29,14.4,14.45,13.25,13.63,5860
HDFCBANK,2000-03-01,13.3,14.0,13.3,14.0,425
HDFCBANK,2000-03-02,13.1,14.0,13.1,13.4,3055
HDFCBANK,2000-03-03,13.25,13.95,12.56,13.05,2812
HDFCBANK,2000-03-06,12.26,13.0,12.02,12.2,3830
HDFCBANK,2000-03-07,11.31,13.18,11.31,12.76,6421
HDFCBANK,2000-03-08,12.75,12.75,11.75,11.81,2755
HDFCBANK,2000-03-09,11.36,12.5,11.35,12.23,1681
HDFCBANK,2000-03-10,12.0,12.7,12.0,12.25,1976
HDFCBANK,2000-03-13,11.75,13.22,11.75,12.96,2606
HDFCBANK,2000-03-14,12.5,13.0,12.3,12.68,3863
HDFCBANK,2000-03-15,12.75,13.65,12.7,13.08,5159
HDFCBANK,2000-03-16,13.6,13.6,12.7,12.85,1705
HDFCBANK,2000-03-21,12.5,13.85,12.5,13.49,1915
HDFCBANK,2001-01-01,2.15,2.15,2.15,2.15,300
HDFCBANK,2001-01-02,2.05,2.05,1.99,1.99,800
HDFCBANK,2001-01-03,1.85,2.13,1.85,2.13,700
HDFCBANK,2001-01-04,2.08,2.08,2.08,2.08,200
HDFCBANK,2001-01-05,1.93,1.94,1.93,1.93,200
