symbol,date,open,high,low,close,volume
INFY,2000-01-03,122.07,122.07,122.07,122.07,5137
INFY,2000-01-04,131.25,131.84,126.98,131.69,56186
INFY,2000-01-05,122.66,126.95,121.15,121.15,164605
INFY,2000-01-06,119.19,119.53,111.46,111.46,81997
INFY,2000-01-07,102.54,102.54,102.54,102.54,7589
INFY,2000-01-10,102.54,110.75,94.34,107.48,236175
INFY,2000-01-11,103.13,107.81,98.88,98.88,122331
INFY,2000-01-12,93.36,104.29,91.92,102.17,203074
INFY,2000-01-13,102.34,102.73,93.99,94.46,156550
INFY,2000-01-14,95.7,96.07,87.52,95.13,125313
INFY,2000-01-17,95.31,100.66,91.56,92.74,141351
INFY,2000-01-18,91.72,95.07,88.48,93.25,158523
INFY,2000-01-19,98.02,100.71,97.03,100.7,156209
INFY,2000-01-20,103.13,105.87,98.52,99.59,154520
INFY,2000-01-21,100.78,106.17,97.68,104.85,162391
INFY,2000-01-24,106.25,113.2,106.25,108.43,197315
INFY,2000-01-25,107.81,111.33,104.69,110.23,159919
INFY,2000-01-27,118.28,118.75,113.95,115.48,202403
INFY,2000-01-28,116.03,120.3,116.03,118.93,270024
INFY,2000-01-31,117.74,117.88,111.36,112.84,118723
INFY,2000-02-01,113.28,116.41,111.72,115.9,110241
INFY,2000-02-02,118.59,120.31,114.84,115.09,148305
INFY,2000-02-03,115.88,117.34,115.16,116.26,94251
INFY,2000-02-04,116.8,124.22,116.8,123.39,315261
INFY,2000-02-07,123.42,133.26,123.42,132.75,265447
INFY,2000-02-08,132.73,142.97,132.73,139.03,232856
INFY,2000-02-09,146.86,146.86,134.38,136.09,165555
INFY,2000-02-10,137.48,144.92,137.48,143.89,293402
INFY,2000-02-11,144.83,155.4,144.83,155.4,32816
INFY,2000-02-14,167.84,167.84,167.84,167.84,23733
INFY,2000-02-15,167.84,167.84,154.41,155.65,333437
INFY,2000-02-16,157.03,160.94,150.55,156.84,198757
INFY,2000-02-17,156.25,168.75,156.25,160.91,189457
INFY,2000-02-18,162.8,164.06,152.73,154.13,166067
INFY,2000-02-21,153.91,164.06,151.58,160.23,277368
INFY,2000-02-22,161.55,161.55,152.34,153.6,188540
INFY,2000-02-23,164.06,164.06,141.31,143.98,186634
INFY,2000-02-24,146.72,150.77,140.44,145.27,129070
INFY,2000-02-25,146.88,148.28,138.28,140.43,77029
INFY,2000-02-28,139.06,139.06,129.19,132.96,119006
INFY,2000-02-29,134.38,143.6,130.47,137.18,250497
INFY,2000-03-01,142.17,148.15,140.63,148.15,98216
INFY,2000-03-02,158.36,160.0,155.19,160.0,25110
INFY,2000-03-03,172.81,172.81,172.81,172.81,26691
INFY,2000-03-06,186.56,186.63,165.0,186.63,21653
INFY,2000-03-07,200.0,201.56,200.0,201.56,54333
INFY,2000-03-08,210.16,217.69,187.27,192.42,350512
INFY,2000-03-09,198.28,203.13,181.72,185.29,130230
INFY,2000-03-10,189.05,199.14,178.54,182.26,160307
INFY,2000-03-13,182.81,190.61,167.68,167.68,117401
INFY,2000-03-14,159.53,159.53,154.27,154.27,131103
INFY,2000-03-15,142.67,160.16,141.93,155.73,254096
INFY,2000-03-16,150.0,150.0,143.28,143.28,89462
INFY,2000-03-21,143.67,154.74,132.98,154.74,228646
INFY,2000-03-22,151.56,167.12,148.44,167.1,149696
INFY,2000-03-23,171.25,180.31,158.59,160.38,222929
INFY,2000-03-24,157.97,173.13,157.97,169.12,191471
INFY,2000-03-27,164.06,171.86,160.94,161.99,126203
INFY,2000-03-28,157.83,159.38,150.96,155.43,139382
INFY,2000-03-29,159.38,166.88,158.61,159.2,102186
INFY,2000-03-30,154.69,154.69,146.56,152.28,119682
INFY,2000-03-31,150.0,150.0,140.09,140.16,126260
INFY,2000-04-03,132.83,140.63,128.95,128.95,58493
INFY,2000-04-04,118.63,118.63,118.63,118.63,6253
INFY,2000-04-05,110.17,128.11,110.17,121.84,442955
INFY,2000-04-06,122.69,131.59,114.08,131.49,469687
INFY,2000-04-07,142.01,142.01,142.01,142.01,3475
