symbol,date,open,high,low,close,volume
ITC,2000-01-03,15.42,15.74,15.0,15.74,562715
ITC,2000-01-04,15.87,16.2,15.43,15.83,712637
ITC,2000-01-05,15.92,16.86,14.67,16.14,1382149
ITC,2000-01-06,16.47,17.43,16.47,17.43,721618
ITC,2000-01-07,18.5,18.82,18.31,18.82,231209
ITC,2000-01-10,20.25,20.33,19.44,20.33,1219818
ITC,2000-01-11,20.04,21.16,19.25,19.64,2376154
ITC,2000-01-12,20.11,20.53,19.34,19.74,616366
ITC,2000-01-13,20.0,20.8,19.36,19.55,667073
ITC,2000-01-14,19.55,20.08,19.18,19.72,575381
ITC,2000-01-17,20.11,20.11,18.15,18.16,1763903
ITC,2000-01-18,17.91,18.44,17.69,18.25,807421
ITC,2000-01-19,18.44,18.84,17.8,18.36,426440
ITC,2000-01-20,18.44,18.44,17.3,17.47,485044
ITC,2000-01-21,17.44,18.8,17.44,18.48,1200922
ITC,2000-01-24,18.58,19.07,17.39,17.61,1546995
ITC,2000-01-25,17.33,17.33,16.2,16.21,1241015
ITC,2000-01-27,16.69,17.51,15.11,17.31,1868015
ITC,2000-01-28,17.04,17.04,15.92,15.98,1276603
ITC,2000-01-31,15.8,16.18,15.22,15.38,993321
ITC,2000-02-01,15.49,16.04,15.36,15.59,1154968
ITC,2000-02-02,16.0,16.28,15.82,15.87,600607
ITC,2000-02-03,16.02,16.13,15.67,15.76,357056
ITC,2000-02-04,15.84,16.0,15.36,15.46,438192
ITC,2000-02-07,15.74,16.69,15.74,16.61,967422
ITC,2000-02-08,16.91,17.73,16.8,16.96,969144
ITC,2000-02-09,17.43,18.32,17.16,18.32,677696
ITC,2000-02-10,19.78,19.78,19.78,19.78,20323
ITC,2000-02-11,21.37,21.37,21.37,21.37,43319
ITC,2000-02-14,22.19,23.04,20.04,20.72,1122348
ITC,2000-02-15,20.56,22.38,20.22,22.37,1468348
ITC,2000-02-16,22.88,23.71,21.67,22.16,1639575
ITC,2000-02-17,22.2,23.44,22.05,22.89,1924843
ITC,2000-02-18,23.0,23.33,21.06,21.26,1091697
ITC,2000-02-21,22.0,22.4,21.33,21.78,972386
ITC,2000-02-22,21.89,22.2,20.5,20.92,1088543
ITC,2000-02-23,21.13,22.2,19.24,19.25,714522
ITC,2000-02-24,19.24,19.56,18.02,18.73,595043
ITC,2000-02-25,19.3,19.3,17.8,18.0,342968
ITC,2000-02-28,18.22,18.64,17.47,17.86,333728
ITC,2000-02-29,18.0,18.2,16.43,16.6,1301851
ITC,2000-03-01,16.45,17.42,15.78,16.75,874568
ITC,2000-03-02,16.91,17.33,15.88,16.1,1069797
ITC,2000-03-03,16.36,16.36,14.81,15.01,696618
ITC,2000-03-06,15.49,16.21,15.49,16.21,476107
ITC,2000-03-07,16.56,17.51,16.27,17.35,954532
ITC,2000-03-08,18.22,18.73,17.33,17.95,816449
ITC,2000-03-09,18.11,18.82,17.49,18.42,889699
ITC,2000-03-10,18.67,19.27,18.0,18.61,679326
ITC,2000-03-13,19.27,20.1,17.78,18.42,1122941
ITC,2000-03-14,18.33,19.51,17.58,19.09,1118886
ITC,2000-03-15,19.11,19.44,18.36,18.93,448662
ITC,2000-03-16,19.09,19.09,17.41,17.46,478057
ITC,2000-03-21,17.22,17.51,16.06,16.11,395936
ITC,2000-03-22,16.56,17.11,16.36,16.45,449248
ITC,2000-03-23,16.6,16.62,15.49,15.66,298809
ITC,2000-03-24,15.82,16.29,15.82,16.03,258417
ITC,2000-03-27,16.11,16.27,15.78,16.01,243855
