symbol,date,open,high,low,close,volume,adj_close
LIN,1992-06-17,8.5,8.75,7.75,7.9375,902000,4.501049518585205
LIN,1992-06-18,7.9375,7.9375,7.5,7.8125,421400,4.4301652908325195
LIN,1992-06-19,7.8125,7.9375,7.75,7.875,453400,4.465609073638916
LIN,1992-06-22,7.875,7.875,7.5625,7.625,597200,4.323843002319336
LIN,1992-06-23,7.625,7.75,7.625,7.6875,853800,4.359282970428467
LIN,1992-06-24,7.6875,7.75,7.5,7.5625,357600,4.288402557373047
LIN,1992-06-25,7.6875,7.8125,7.6875,7.6875,785000,4.359282970428467
LIN,1992-06-26,7.6875,7.75,7.625,7.75,435000,4.394725799560547
LIN,1992-06-29,7.6875,7.8125,7.625,7.8125,386600,4.4301652908325195
LIN,1992-06-30,7.8125,8.0625,7.8125,8.0625,884400,4.571928977966309
LIN,1992-07-01,7.875,7.9375,7.8125,7.875,552600,4.465609073638916
LIN,1992-07-02,7.9375,8.0625,7.6875,8.0625,1788200,4.571928977966309
LIN,1992-07-06,7.9375,7.9375,7.6875,7.75,580400,4.394725799560547
LIN,1992-07-07,7.8125,7.8125,7.1875,7.3125,1147000,4.14663553237915
LIN,1992-07-08,7.375,7.375,6.8125,6.9375,1192800,3.933988094329834
LIN,1992-07-09,6.9375,7.3125,6.9375,7.3125,2136600,4.14663553237915
LIN,1992-07-10,7.1875,7.25,7.0625,7.125,866200,4.040312767028809
LIN,1992-07-13,7.125,7.25,7.125,7.1875,846600,4.075751781463623
LIN,1992-07-14,7.125,7.25,7.125,7.25,990000,4.1111955642700195
LIN,1992-07-15,7.25,7.375,7.25,7.3125,1080400,4.14663553237915
LIN,1992-07-16,7.25,7.3125,7.125,7.1875,2689000,4.075751781463623
LIN,1992-07-17,7.0625,7.3125,7.0625,7.3125,840400,4.14663553237915
LIN,1992-07-20,6.9375,7.1875,6.875,7.125,1228200,4.040312767028809
LIN,1992-07-21,7.0,7.25,7.0,7.125,1279600,4.040312767028809
LIN,1992-07-22,6.9375,7.5625,6.9375,7.375,2743000,4.1820759773254395
LIN,1992-07-23,7.3125,7.5,7.3125,7.3125,2203800,4.14663553237915
LIN,1992-07-24,7.25,7.5,7.25,7.4375,1404000,4.2175188064575195
LIN,1992-07-27,7.4375,7.5625,7.3125,7.5,1308000,4.252959728240967
LIN,1992-07-28,7.4375,7.5625,7.375,7.5,1134400,4.252959728240967
LIN,1992-07-29,7.5,7.5625,7.25,7.375,1697600,4.1820759773254395
LIN,1992-07-30,7.4375,7.5,7.25,7.5,912800,4.252959728240967
LIN,1992-07-31,7.4375,7.5625,7.4375,7.5625,1303000,4.288402557373047
LIN,1992-08-03,7.5,7.6875,7.4375,7.6875,1616800,4.359282970428467
LIN,1992-08-04,7.6875,7.8125,7.6875,7.75,1457000,4.394725799560547
LIN,1992-08-05,7.75,7.8125,7.75,7.75,492000,4.394725799560547
LIN,1992-08-06,7.6875,7.75,7.5,7.625,1277800,4.323843002319336
LIN,1992-08-07,7.4375,7.5625,7.4375,7.5,306200,4.252959728240967
LIN,1992-08-10,7.3125,7.5,7.25,7.4375,593000,4.2175188064575195
LIN,1992-08-11,7.4375,7.4375,7.25,7.25,1804800,4.1111955642700195
LIN,1992-08-12,7.4375,7.5,7.125,7.25,1591600,4.1111955642700195
LIN,1992-08-13,7.3125,7.5625,7.3125,7.5,1100600,4.252959728240967
LIN,1992-08-14,7.5,7.9375,7.5,7.875,1476600,4.465609073638916
LIN,1992-08-17,7.75,8.0,7.75,7.9375,1461000,4.501049518585205
LIN,1992-08-18,8.0,8.1875,7.9375,8.0,1660200,4.536489963531494
LIN,1992-08-19,8.0,8.125,7.875,7.9375,928000,4.501049518585205
LIN,1992-08-20,8.0,8.0625,8.0,8.0625,370400,4.571928977966309
LIN,1992-08-21,8.0,8.3125,8.0,8.25,3771600,4.678255081176758
LIN,1992-08-24,7.9375,8.1875,7.9375,8.0625,2085000,4.571928977966309
LIN,1992-08-25,8.125,8.1875,7.9375,8.125,1168800,4.607373237609863
LIN,1992-08-26,8.0625,8.1875,8.0,8.1875,1347000,4.642813682556152
LIN,1992-08-27,8.1875,8.25,8.125,8.125,764400,4.607373237609863
LIN,1992-08-28,8.0625,8.125,8.0,8.0625,516800,4.571928977966309
LIN,1992-08-31,8.125,8.125,8.0625,8.0625,304000,4.571928977966309
LIN,1992-09-01,8.0,8.125,7.9375,8.0,1067400,4.553999423980713
LIN,1992-09-02,7.9375,8.0,7.8125,7.875,1153600,4.482842445373535
LIN,1992-09-03,7.875,7.9375,7.8125,7.8125,474800,4.447266578674316
LIN,1992-09-04,7.875,7.875,7.6875,7.6875,461600,4.3761091232299805
LIN,1992-09-08,7.75,7.8125,7.6875,7.6875,693800,4.3761091232299805
LIN,1992-09-09,7.75,7.9375,7.75,7.9375,474200,4.5184221267700195
LIN,1992-09-10,8.0,8.0625,7.875,7.9375,867200,4.5184221267700195
LIN,1992-09-11,8.0,8.0625,7.875,7.9375,856600,4.5184221267700195
LIN,1992-09-14,8.0625,8.25,8.0625,8.25,1092800,4.696310520172119
LIN,1992-09-15,8.0625,8.1875,8.0625,8.0625,1036400,4.589578628540039
LIN,1992-09-16,8.0,8.125,7.875,8.125,864000,4.625158309936523
LIN,1992-09-17,8.125,8.125,8.0,8.125,660000,4.625158309936523
LIN,1992-09-18,8.125,8.1875,8.0625,8.1875,1351400,4.660733699798584
LIN,1992-09-21,8.125,8.1875,8.0625,8.125,491200,4.625158309936523
LIN,1992-09-22,8.125,8.1875,8.0625,8.0625,1030000,4.589578628540039
LIN,1992-09-23,8.0,8.0625,7.8125,7.9375,714800,4.5184221267700195
LIN,1992-09-24,7.9375,8.1875,7.9375,8.125,639400,4.625158309936523
LIN,1992-09-25,8.125,8.125,8.0,8.125,438800,4.625158309936523
LIN,1992-09-28,8.0625,8.1875,8.0625,8.1875,217600,4.660733699798584
LIN,1992-09-29,8.1875,8.1875,8.0625,8.0625,313000,4.589578628540039
LIN,1992-09-30,8.125,8.125,7.9375,8.0,675200,4.553999423980713
LIN,1992-10-01,7.9375,8.0,7.75,7.875,727800,4.482842445373535
LIN,1992-10-02,7.875,8.0,7.75,7.875,376000,4.482842445373535
LIN,1992-10-05,7.8125,7.875,7.4375,7.8125,815800,4.447266578674316
LIN,1992-10-06,7.75,7.8125,7.5,7.75,600800,4.411686897277832
LIN,1992-10-07,7.8125,8.0,7.75,7.9375,491400,4.5184221267700195
LIN,1992-10-08,7.9375,8.0625,7.9375,8.0,327400,4.553999423980713
LIN,1992-10-09,7.9375,7.9375,7.625,7.625,628200,4.340529441833496
LIN,1992-10-12,7.6875,7.75,7.5,7.5625,629600,4.3049516677856445
LIN,1992-10-13,7.5625,7.75,7.5625,7.6875,1432200,4.3761091232299805
LIN,1992-10-14,7.625,7.8125,7.5625,7.6875,941200,4.3761091232299805
LIN,1992-10-15,7.625,7.75,7.5625,7.5625,944000,4.3049516677856445
LIN,1992-10-16,7.5625,7.625,7.5625,7.625,404800,4.340529441833496
LIN,1992-10-19,7.625,7.875,7.625,7.875,336200,4.482842445373535
LIN,1992-10-20,7.9375,8.0625,7.8125,7.875,1016800,4.482842445373535
LIN,1992-10-21,7.875,7.875,7.8125,7.875,297000,4.482842445373535
LIN,1992-10-22,7.875,7.9375,7.625,7.75,648800,4.411686897277832
LIN,1992-10-23,7.625,7.75,7.625,7.75,455400,4.411686897277832
LIN,1992-10-26,7.75,7.875,7.75,7.8125,757600,4.447266578674316
LIN,1992-10-27,7.875,8.0,7.8125,7.9375,611600,4.5184221267700195
LIN,1992-10-28,7.9375,8.0,7.875,8.0,1490800,4.553999423980713
LIN,1992-10-29,7.9375,7.9375,7.8125,7.8125,442000,4.447266578674316
LIN,1992-10-30,7.875,7.9375,7.8125,7.875,786200,4.482842445373535
LIN,1992-11-02,7.9375,8.0,7.875,7.9375,529000,4.5184221267700195
LIN,1992-11-03,7.9375,8.0625,7.9375,7.9375,1005000,4.5184221267700195
LIN,1992-11-04,7.9375,7.9375,7.875,7.9375,338000,4.5184221267700195
LIN,1992-11-05,7.875,8.0625,7.875,8.0625,1018800,4.589578628540039
LIN,1992-11-06,7.9375,8.25,7.9375,8.125,1850000,4.625158309936523
LIN,1992-11-09,8.0625,8.4375,8.0625,8.25,1272200,4.696310520172119
LIN,1992-11-10,8.25,8.5625,8.25,8.375,2574600,4.7674689292907715
LIN,1992-11-11,8.4375,8.5,8.375,8.5,974400,4.838623523712158
LIN,1992-11-12,8.4375,8.4375,8.25,8.3125,1504400,4.731889247894287
LIN,1992-11-13,8.25,8.375,8.1875,8.375,654600,4.7674689292907715
LIN,1992-11-16,8.375,8.375,8.0625,8.125,2219600,4.625158309936523
LIN,1992-11-17,8.125,8.1875,8.0,8.0625,2032000,4.589578628540039
LIN,1992-11-18,8.0625,8.3125,8.0625,8.25,807200,4.696310520172119
LIN,1992-11-19,8.1875,8.3125,8.125,8.25,1040000,4.696310520172119
LIN,1992-11-20,8.3125,8.3125,8.125,8.25,1954000,4.696310520172119
LIN,1992-11-23,8.1875,8.25,8.0,8.0,1565400,4.553999423980713
LIN,1992-11-24,8.0625,8.25,8.0625,8.125,470400,4.625158309936523
LIN,1992-11-25,8.25,8.375,8.1875,8.3125,1022000,4.731889247894287
LIN,1992-11-27,8.3125,8.375,8.3125,8.375,747800,4.7674689292907715
LIN,1992-11-30,8.375,8.4375,8.25,8.25,998000,4.696310520172119
LIN,1992-12-01,8.25,8.375,8.125,8.1875,2407000,4.678310871124268
LIN,1992-12-02,8.1875,8.375,8.125,8.3125,1942400,4.7497382164001465
LIN,1992-12-03,8.3125,8.4375,8.25,8.25,1448200,4.714025497436523
LIN,1992-12-04,8.375,8.4375,8.3125,8.375,1611400,4.785451412200928
LIN,1992-12-07,8.3125,8.4375,8.25,8.375,884800,4.785451412200928
LIN,1992-12-08,8.25,8.3125,8.25,8.3125,1178000,4.7497382164001465
LIN,1992-12-09,8.3125,8.375,8.25,8.25,815000,4.714025497436523
LIN,1992-12-10,8.25,8.5,8.25,8.4375,1170600,4.821162223815918
LIN,1992-12-11,8.3125,8.375,8.25,8.3125,461600,4.7497382164001465
LIN,1992-12-14,8.3125,8.375,8.125,8.125,967400,4.642602920532227
LIN,1992-12-15,7.875,8.0,7.8125,8.0,2203000,4.571176528930664
LIN,1992-12-16,8.0,8.1875,8.0,8.125,834600,4.642602920532227
LIN,1992-12-17,8.0625,8.4375,8.0625,8.375,1126000,4.785451412200928
LIN,1992-12-18,8.375,8.375,8.1875,8.3125,1563200,4.7497382164001465
LIN,1992-12-21,8.375,8.375,8.25,8.25,901000,4.714025497436523
LIN,1992-12-22,8.3125,8.4375,8.1875,8.25,1963800,4.714025497436523
LIN,1992-12-23,8.3125,8.375,8.25,8.25,474600,4.714025497436523
LIN,1992-12-24,8.25,8.3125,8.1875,8.25,447800,4.714025497436523
LIN,1992-12-28,8.125,8.1875,7.9375,8.125,1947200,4.642602920532227
LIN,1992-12-29,8.125,8.25,8.125,8.125,482400,4.642602920532227
LIN,1992-12-30,8.125,8.25,8.125,8.25,591000,4.714025497436523
LIN,1992-12-31,8.1875,8.375,8.1875,8.375,1022000,4.785451412200928
LIN,1993-01-04,8.3125,8.375,8.1875,8.1875,1185200,4.678310871124268
LIN,1993-01-05,8.1875,8.375,8.125,8.25,878600,4.714025497436523
LIN,1993-01-06,8.3125,8.5,8.25,8.4375,564400,4.821162223815918
LIN,1993-01-07,8.4375,8.75,8.4375,8.5625,3073800,4.892583847045898
LIN,1993-01-08,8.5,8.6875,8.375,8.4375,1084000,4.821162223815918
LIN,1993-01-11,8.375,8.625,8.3125,8.625,1454400,4.928299903869629
LIN,1993-01-12,8.5625,8.5625,8.4375,8.5625,1041400,4.892583847045898
LIN,1993-01-13,8.5625,8.625,8.5,8.5,905800,4.856871604919434
LIN,1993-01-14,8.5,8.625,8.5,8.5625,704800,4.892583847045898
LIN,1993-01-15,8.5625,8.5625,8.3125,8.375,1567000,4.785451412200928
LIN,1993-01-18,8.375,8.4375,8.375,8.375,521600,4.785451412200928
LIN,1993-01-19,8.375,8.625,8.375,8.625,1416200,4.928299903869629
LIN,1993-01-20,8.5,8.6875,8.375,8.625,1809200,4.928299903869629
LIN,1993-01-21,8.625,8.6875,8.5,8.625,2216200,4.928299903869629
LIN,1993-01-22,8.5625,8.625,8.375,8.375,2587600,4.785451412200928
LIN,1993-01-25,8.4375,8.625,8.375,8.5625,2629200,4.892583847045898
LIN,1993-01-26,8.625,8.75,8.5,8.5625,1378800,4.892583847045898
LIN,1993-01-27,8.5,8.5625,8.3125,8.4375,3023400,4.821162223815918
LIN,1993-01-28,8.3125,8.4375,8.25,8.375,1312600,4.785451412200928
LIN,1993-01-29,8.375,8.4375,8.1875,8.3125,1787800,4.7497382164001465
LIN,1993-02-01,8.375,8.4375,8.3125,8.4375,490600,4.821162223815918
LIN,1993-02-02,8.4375,8.5625,8.375,8.5,1114600,4.856871604919434
LIN,1993-02-03,8.5,8.625,8.5,8.5,1257600,4.856871604919434
LIN,1993-02-04,8.5625,8.625,8.4375,8.5625,1058600,4.892583847045898
LIN,1993-02-05,8.625,8.8125,8.5625,8.5625,1071200,4.892583847045898
LIN,1993-02-08,8.6875,8.875,8.6875,8.875,2291800,5.071147918701172
LIN,1993-02-09,8.75,8.8125,8.625,8.75,1717000,4.999722957611084
LIN,1993-02-10,8.75,9.0,8.75,8.9375,1820200,5.106861114501953
LIN,1993-02-11,8.9375,9.0,8.8125,8.8125,596200,5.035435676574707
