symbol,date,open,high,low,close,volume
LT,2000-01-03,65.22,65.6,64.71,65.6,194901
LT,2000-01-04,69.89,70.56,66.67,69.22,1556310
LT,2000-01-05,65.44,67.63,63.68,63.68,3762274
LT,2000-01-06,63.68,67.22,63.68,64.44,2570044
LT,2000-01-07,63.92,65.22,60.23,61.07,2856233
LT,2000-01-10,61.69,62.22,57.01,57.44,1865367
LT,2000-01-11,57.89,58.08,52.85,54.85,3464542
LT,2000-01-12,55.67,57.22,51.67,53.82,2853262
LT,2000-01-13,54.33,55.89,49.7,50.53,4153654
LT,2000-01-14,51.22,52.22,46.49,51.19,7547065
LT,2000-01-17,52.44,54.97,52.0,52.77,3269200
LT,2000-01-18,52.99,52.99,49.79,50.27,2154448
LT,2000-01-19,51.22,52.88,50.48,52.17,1795868
LT,2000-01-20,52.22,52.67,50.57,50.72,1107233
LT,2000-01-21,50.78,52.0,49.67,50.1,1615396
LT,2000-01-24,50.51,50.89,49.01,49.14,1076345
LT,2000-01-25,48.78,49.11,47.69,47.86,1214166
LT,2000-01-27,48.88,48.88,46.11,46.44,1232164
LT,2000-01-28,46.57,48.43,45.85,47.08,2243588
LT,2000-01-31,46.56,47.92,43.92,44.76,1957205
LT,2000-02-01,45.0,45.89,44.0,44.75,1594290
LT,2000-02-02,46.11,47.32,45.14,46.24,1679398
LT,2000-02-03,46.66,48.43,46.66,47.4,1957660
LT,2000-02-04,47.22,48.33,46.22,46.99,1027775
LT,2000-02-07,46.89,48.88,46.56,47.56,1431998
LT,2000-02-08,48.05,51.36,47.64,51.35,2228424
LT,2000-02-09,53.89,53.89,47.79,50.36,1799316
LT,2000-02-10,50.44,52.78,49.44,52.03,2317915
LT,2000-02-11,52.44,53.11,51.23,51.99,1097076
LT,2000-02-14,52.22,52.22,48.44,48.84,1102510
LT,2000-02-15,48.16,49.67,45.7,45.97,1271725
LT,2000-02-16,46.67,48.63,46.44,47.64,841299
LT,2000-02-17,47.44,48.32,47.11,47.83,727504
LT,2000-02-18,48.22,48.27,45.67,46.03,796422
LT,2000-02-21,45.56,46.43,44.07,44.53,1340310
LT,2000-02-22,45.21,45.44,41.78,42.42,1194489
LT,2000-02-23,43.33,45.0,39.03,40.41,1491062
LT,2000-02-24,39.99,41.78,38.62,40.78,1257245
LT,2000-02-25,41.33,44.05,39.5,42.68,1659091
LT,2000-02-28,43.21,43.49,40.57,41.77,1617526
LT,2000-02-29,42.56,43.44,38.43,38.98,1823659
LT,2000-03-01,39.67,40.78,37.5,39.19,1263539
LT,2000-03-02,39.67,40.33,36.15,36.58,1592504
LT,2000-03-03,36.12,38.44,33.66,33.84,973366
LT,2000-03-06,34.54,36.55,34.54,36.51,1413903
LT,2000-03-07,35.44,37.56,34.23,34.9,1359316
LT,2000-03-08,36.56,36.56,32.62,32.99,1182974
LT,2000-03-09,33.34,34.44,32.41,33.58,1098566
LT,2000-03-10,33.63,33.88,30.9,30.9,752058
LT,2000-03-13,30.9,31.09,28.43,28.43,1095489
LT,2000-03-14,27.33,30.71,26.16,30.71,3217735
LT,2000-03-15,30.67,31.88,29.63,30.07,1922184
LT,2000-03-16,30.38,30.53,27.78,28.78,1733212
LT,2000-03-21,28.44,30.54,27.94,29.09,1598328
LT,2000-03-22,29.93,31.42,29.33,31.16,2146800
LT,2000-03-23,31.54,31.92,29.89,30.22,951775
LT,2000-03-24,30.11,30.11,29.34,29.76,376981
LT,2000-03-27,30.22,30.78,29.45,30.13,675219
LT,2000-03-28,29.56,32.54,29.56,32.44,1796051
LT,2000-03-29,33.19,33.22,30.18,30.38,1320900
LT,2000-03-30,30.44,30.67,28.56,30.14,1490425
LT,2000-03-31,29.78,32.54,29.11,32.29,2081733
LT,2000-04-03,32.44,34.43,32.41,33.68,2922844
LT,2000-04-04,32.91,33.56,30.99,30.99,1606648
LT,2000-04-05,31.33,31.67,29.57,31.19,1988068
LT,2000-04-06,31.44,31.89,29.79,30.82,1661005
LT,2000-04-07,31.08,33.28,31.08,33.28,3201637
LT,2000-04-10,34.78,35.88,34.44,35.19,2851529
LT,2000-04-11,34.68,35.0,34.0,34.47,1200741
LT,2000-04-12,34.33,34.56,33.0,33.29,1079602
LT,2000-04-13,32.69,32.69,30.63,31.52,983624
LT,2000-04-17,30.72,30.72,29.0,29.0,3431968
LT,2000-04-18,29.0,29.83,28.12,28.55,1437310
LT,2000-04-19,29.11,29.76,27.9,28.48,1060940
LT,2000-04-20,28.67,28.67,26.95,28.09,1332142
LT,2000-04-24,28.45,28.61,27.23,27.67,1034175
LT,2000-04-25,27.12,27.12,25.46,25.79,1869989
LT,2000-04-26,26.89,27.86,26.44,27.86,1172194
LT,2000-04-27,29.88,29.88,26.44,26.77,1224633
LT,2000-04-28,26.76,27.21,25.9,26.04,787729
LT,2000-05-02,26.32,26.61,24.79,25.08,1086048
LT,2000-05-03,24.56,24.66,23.33,24.03,1421723
LT,2000-05-04,24.61,25.33,24.14,24.74,1857128
LT,2000-05-05,24.82,26.73,24.44,26.1,3655604
LT,2000-05-08,26.38,26.8,25.11,25.28,1275745
LT,2000-05-09,25.06,25.32,23.22,23.86,2047376
LT,2000-05-10,24.43,24.56,23.22,23.63,1105226
LT,2000-05-11,23.17,25.3,22.78,25.02,3051833
LT,2000-05-12,25.22,25.88,24.22,24.48,2604219
