symbol,date,open,high,low,close,volume
M&M,2000-01-03,56.66,56.67,56.11,56.67,67195
M&M,2000-01-04,61.2,61.21,61.2,61.21,37470
M&M,2000-01-05,66.11,66.11,56.39,64.36,227621
M&M,2000-01-06,66.0,68.75,64.75,65.57,198870
M&M,2000-01-07,64.38,65.25,61.25,62.05,91052
M&M,2000-01-10,63.74,66.88,61.46,62.15,83454
M&M,2000-01-11,64.25,67.13,63.76,66.6,250382
M&M,2000-01-12,67.5,68.75,61.28,61.28,136009
M&M,2000-01-13,64.5,65.0,58.19,62.38,85954
M&M,2000-01-14,62.5,65.63,61.26,64.88,79448
M&M,2000-01-17,67.25,70.07,67.25,70.07,163004
M&M,2000-01-18,71.25,74.49,68.78,71.74,293023
M&M,2000-01-19,75.13,77.49,71.5,74.9,327481
M&M,2000-01-20,74.74,74.74,70.75,71.54,107183
M&M,2000-01-21,73.13,73.13,68.0,68.75,91545
M&M,2000-01-24,67.39,68.74,63.91,64.34,45765
M&M,2000-01-25,64.5,64.97,61.4,63.41,91169
M&M,2000-01-27,67.5,67.5,59.38,62.41,92630
M&M,2000-01-28,63.5,64.99,62.5,63.89,56869
M&M,2000-01-31,63.38,64.69,62.5,63.47,39681
M&M,2000-02-01,63.63,64.22,59.38,60.24,134808
M&M,2000-02-02,62.5,65.07,62.25,65.07,89805
M&M,2000-02-03,67.5,69.84,64.38,64.9,52038
M&M,2000-02-04,64.5,65.36,62.63,63.65,31704
M&M,2000-02-07,62.13,64.11,62.13,63.23,29028
M&M,2000-02-08,64.36,68.29,64.36,68.29,121487
M&M,2000-02-09,72.5,73.63,65.0,66.15,139867
M&M,2000-02-10,66.91,71.44,66.91,71.41,383118
M&M,2000-02-11,73.63,77.12,73.63,77.12,377618
M&M,2000-02-14,82.44,83.0,77.5,81.72,424416
M&M,2000-02-15,78.13,78.49,75.19,75.19,56309
M&M,2000-02-16,76.13,76.25,69.18,69.18,18410
M&M,2000-02-17,63.78,69.86,63.64,66.18,147757
M&M,2000-02-18,65.63,67.31,61.28,62.0,217637
M&M,2000-02-21,63.13,64.38,61.5,63.48,123665
M&M,2000-02-22,61.41,65.0,61.41,64.43,252087
M&M,2000-02-23,65.5,69.38,64.13,64.34,74152
M&M,2000-02-24,65.63,69.35,63.0,64.22,158775
M&M,2000-02-25,66.75,66.75,61.25,62.02,28254
M&M,2000-02-28,61.25,64.13,59.5,63.78,62070
M&M,2000-02-29,62.88,63.99,59.38,60.27,105911
M&M,2000-03-01,61.25,61.25,55.5,57.56,86010
M&M,2000-03-02,58.75,58.76,52.96,52.96,118070
M&M,2000-03-03,48.75,49.99,48.74,48.92,144260
M&M,2000-03-06,49.74,51.03,47.69,50.31,54213
M&M,2000-03-07,49.13,49.38,46.28,46.29,37027
M&M,2000-03-08,45.89,49.63,43.13,43.76,48887
M&M,2000-03-09,44.13,44.13,40.26,40.26,57892
M&M,2000-03-10,41.13,43.48,40.0,43.48,84915
M&M,2000-03-13,44.21,46.96,43.13,46.96,67187
M&M,2000-03-14,49.84,50.06,46.88,48.43,143127
M&M,2000-03-15,48.11,48.11,44.56,44.56,16755
M&M,2000-03-16,41.88,43.75,40.99,40.99,80436
M&M,2000-03-21,41.0,44.28,40.38,43.81,74529
M&M,2000-03-22,44.63,47.31,44.38,46.15,211467
M&M,2000-03-23,47.5,47.75,42.46,42.46,27793
M&M,2000-03-24,40.89,41.88,39.5,41.28,72299
M&M,2000-03-27,41.88,44.12,41.88,42.46,83845
M&M,2000-03-28,44.56,45.63,43.06,43.61,87565
M&M,2000-03-29,44.81,46.31,43.5,43.93,151834
M&M,2000-03-30,42.64,42.64,40.42,40.71,96674
M&M,2000-03-31,40.5,40.62,38.56,39.73,164694
M&M,2000-04-03,39.88,41.13,36.56,36.59,75503
M&M,2000-04-04,33.88,38.13,33.66,37.09,201547
M&M,2000-04-05,37.75,40.05,36.51,39.44,251775
M&M,2000-04-06,40.0,40.5,37.13,39.3,207445
M&M,2000-04-07,39.88,42.44,39.88,42.44,160458
M&M,2000-04-10,42.5,45.62,42.5,44.39,207932
M&M,2000-04-11,43.75,43.88,41.39,43.56,55588
M&M,2000-04-12,43.13,43.13,40.13,40.36,83549
M&M,2000-04-13,38.88,39.28,37.88,38.51,78098
M&M,2000-04-17,36.91,36.91,35.43,35.48,142306
M&M,2000-04-18,36.25,36.87,34.4,35.0,108874
M&M,2000-04-19,36.13,37.08,35.0,35.47,55738
M&M,2000-04-20,34.88,36.25,33.25,35.28,64949
M&M,2000-04-24,33.94,35.56,33.94,35.03,24294
M&M,2000-04-25,34.13,37.79,33.41,36.69,70822
M&M,2000-04-26,38.88,38.88,36.81,38.56,52670
M&M,2000-04-27,39.38,39.63,35.48,35.48,44511
M&M,2000-04-28,35.38,35.38,32.64,33.63,72450
M&M,2000-05-02,33.63,34.0,31.38,33.42,82184
M&M,2000-05-03,32.5,34.38,32.01,33.35,32704
M&M,2000-05-04,33.25,34.63,33.13,33.75,426418
M&M,2000-05-05,34.38,37.8,34.0,37.34,436455
M&M,2000-05-08,38.13,39.0,34.75,35.19,86697
M&M,2000-05-09,34.19,34.49,33.0,34.1,98624
M&M,2000-05-10,34.99,34.99,32.5,32.73,104533
M&M,2000-05-11,31.5,32.24,28.8,28.8,150820
M&M,2000-05-12,28.5,28.75,25.34,25.56,257413
M&M,2000-05-15,25.01,27.13,24.13,26.89,160437
M&M,2000-05-16,27.44,27.49,26.13,26.62,121289
