symbol,date,open,high,low,close,volume
ONGC,2000-01-03,22.78,23.82,22.78,23.72,9600
ONGC,2000-01-04,22.39,23.3,22.33,22.95,17900
ONGC,2000-01-05,22.33,24.79,22.28,24.79,27000
ONGC,2000-01-06,26.0,26.1,24.18,24.37,35600
ONGC,2000-01-07,24.78,24.78,23.67,23.97,11400
ONGC,2000-01-10,22.78,24.22,22.78,23.28,40000
ONGC,2000-01-11,23.33,23.33,21.56,21.68,29200
ONGC,2000-01-12,22.77,23.31,22.22,22.47,16700
ONGC,2000-01-13,22.44,22.55,22.0,22.09,45000
ONGC,2000-01-14,21.57,21.89,21.46,21.6,32600
ONGC,2000-01-17,21.67,21.72,21.47,21.67,25500
ONGC,2000-01-18,21.55,21.55,20.58,20.71,37300
ONGC,2000-01-19,21.22,21.56,21.22,21.35,49600
ONGC,2000-01-20,21.33,21.61,21.33,21.38,18100
ONGC,2000-01-21,20.56,21.56,20.56,21.19,15800
ONGC,2000-01-24,21.11,21.39,20.78,21.32,18400
ONGC,2000-01-25,20.92,21.33,20.78,21.03,17600
ONGC,2000-01-27,21.43,22.72,21.22,22.72,21500
ONGC,2000-01-28,23.0,23.32,21.89,22.82,22500
ONGC,2000-01-31,23.89,23.89,22.83,23.3,57900
ONGC,2000-02-01,22.89,24.1,22.37,23.9,46200
ONGC,2000-02-02,24.44,24.97,23.78,23.85,39700
ONGC,2000-02-03,23.5,23.89,23.27,23.3,13000
ONGC,2000-02-04,23.89,23.89,22.58,23.57,17400
ONGC,2000-02-07,23.99,24.67,23.11,24.06,29700
ONGC,2000-02-08,23.57,24.44,23.0,23.31,36200
ONGC,2000-02-09,23.88,23.88,23.24,23.64,9000
ONGC,2000-02-10,22.78,23.33,22.67,22.96,23000
ONGC,2000-02-11,22.12,22.23,21.12,21.27,29600
ONGC,2000-02-14,21.66,21.66,20.89,21.05,10200
ONGC,2000-02-15,21.11,21.27,19.5,19.77,16700
ONGC,2000-02-16,20.89,21.11,20.57,20.69,11600
ONGC,2000-02-17,20.94,20.94,20.56,20.74,7500
ONGC,2000-02-18,19.39,20.77,19.39,20.36,7800
ONGC,2000-02-21,19.9,20.28,19.78,19.92,10800
ONGC,2000-02-22,19.99,20.0,19.0,19.48,17500
ONGC,2000-02-23,20.0,20.11,19.44,19.44,10300
ONGC,2000-02-24,19.56,19.81,18.96,19.09,5100
ONGC,2000-02-25,19.25,19.27,17.9,18.15,8300
ONGC,2000-02-28,18.44,19.61,18.01,19.61,9800
ONGC,2000-02-29,20.89,20.93,18.11,18.58,27600
ONGC,2000-03-01,18.46,19.31,18.46,19.17,7300
ONGC,2000-03-02,19.28,19.44,17.67,17.81,18100
ONGC,2000-03-03,16.67,17.93,16.67,17.26,8800
ONGC,2000-03-06,16.67,17.78,16.67,17.48,30000
ONGC,2000-03-07,17.44,17.76,16.37,16.73,9600
ONGC,2000-03-08,17.43,17.43,16.33,16.38,16900
ONGC,2000-03-09,16.89,17.33,16.22,17.11,10000
