symbol,date,open,high,low,close,volume
RELIANCE,2002-07-01,27.19,27.58,27.03,27.35,870456
RELIANCE,2002-07-02,27.29,27.38,26.81,26.89,961467
RELIANCE,2002-07-03,26.88,27.48,26.79,27.0,2370174
RELIANCE,2002-07-04,27.08,27.28,26.83,26.88,1034747
RELIANCE,2002-07-05,26.98,27.06,26.4,26.51,2140759
RELIANCE,2002-07-08,26.17,27.56,26.17,27.37,4601204
RELIANCE,2002-07-09,27.39,28.05,27.19,27.88,3660312
RELIANCE,2002-07-10,27.58,28.08,27.58,27.92,2715701
RELIANCE,2002-07-11,27.79,27.85,26.65,26.74,2568911
RELIANCE,2002-07-12,27.03,27.12,26.61,26.71,1557646
RELIANCE,2002-07-15,26.88,26.88,26.17,26.76,1056344
RELIANCE,2002-07-16,26.78,26.91,25.78,25.96,2256701
RELIANCE,2002-07-17,25.9,26.02,25.35,25.56,3721631
RELIANCE,2002-07-18,25.67,26.22,25.59,26.11,1784020
RELIANCE,2002-07-19,25.77,26.41,25.77,26.15,2267280
RELIANCE,2002-07-22,25.87,25.96,25.57,25.85,1400428
RELIANCE,2002-07-23,25.63,26.15,25.44,25.85,2323311
RELIANCE,2002-07-24,25.82,25.86,25.18,25.32,2198390
RELIANCE,2002-07-25,25.67,26.14,25.17,25.35,6039297
RELIANCE,2002-07-26,25.36,25.36,24.55,24.7,2916772
RELIANCE,2002-07-29,24.62,25.22,24.04,24.94,4331956
RELIANCE,2002-07-30,25.31,25.45,24.69,24.85,3108870
RELIANCE,2002-07-31,24.66,24.94,24.27,24.6,3412258
RELIANCE,2002-08-01,24.82,25.07,24.44,24.67,1950796
RELIANCE,2002-08-02,24.37,24.61,24.07,24.45,1987066
RELIANCE,2002-08-05,24.66,24.73,24.34,24.56,2169109
RELIANCE,2002-08-06,24.46,24.56,24.22,24.32,1681055
RELIANCE,2002-08-07,24.56,24.85,24.13,24.29,2468829
RELIANCE,2002-08-08,24.34,24.43,23.29,23.47,3662096
RELIANCE,2002-08-09,23.57,23.72,23.11,23.62,3369119
RELIANCE,2002-08-12,23.93,24.49,23.59,24.26,4440241
RELIANCE,2002-08-13,24.41,24.56,24.29,24.42,1554070
RELIANCE,2002-08-14,24.37,24.51,23.98,24.01,2417646
RELIANCE,2002-08-16,24.26,24.55,24.19,24.44,1975544
RELIANCE,2002-08-19,24.57,24.84,24.57,24.69,2054911
RELIANCE,2002-08-20,24.82,25.22,24.7,25.06,3269448
RELIANCE,2002-08-21,25.07,25.27,24.64,24.68,1991301
RELIANCE,2002-08-22,24.87,25.11,24.77,24.93,1792486
RELIANCE,2002-08-23,25.16,25.21,24.83,25.14,1411719
RELIANCE,2002-08-26,25.17,25.45,25.09,25.26,1648160
RELIANCE,2002-08-27,26.17,26.17,24.77,24.83,1337440
RELIANCE,2002-08-28,24.71,24.87,24.58,24.74,956877
RELIANCE,2002-08-29,24.66,25.17,24.62,25.13,2058052
RELIANCE,2002-08-30,25.24,25.81,25.07,25.72,3381295
RELIANCE,2002-09-02,26.17,26.98,26.17,26.7,4126554
RELIANCE,2002-09-03,26.82,26.87,26.29,26.61,2146322
RELIANCE,2002-09-04,26.38,27.28,26.28,27.11,4934888
RELIANCE,2002-09-05,27.18,27.27,26.68,26.77,2123615
RELIANCE,2002-09-06,26.78,27.02,26.5,26.74,2514536
RELIANCE,2002-09-09,26.67,26.78,25.95,26.27,2470540
RELIANCE,2002-09-11,26.28,26.39,25.82,25.91,2066219
RELIANCE,2002-09-12,25.95,26.54,25.92,26.23,2786878
RELIANCE,2002-09-13,26.29,26.67,25.94,26.07,3702270
RELIANCE,2002-09-16,26.17,26.3,25.87,25.98,2115338
RELIANCE,2002-09-17,26.0,26.47,26.0,26.34,1336037
RELIANCE,2002-09-18,26.17,26.36,25.97,26.04,1227802
RELIANCE,2002-09-19,26.12,26.12,25.72,25.98,1510321
RELIANCE,2002-09-20,25.67,25.91,25.47,25.72,1757760
RELIANCE,2002-09-23,25.87,26.37,25.67,26.17,1821705
RELIANCE,2002-09-24,26.07,26.31,25.6,25.72,2417212
RELIANCE,2002-09-25,25.58,25.77,25.37,25.71,1211786
RELIANCE,2002-09-26,25.87,25.88,25.65,25.74,584209
RELIANCE,2002-09-27,25.75,26.12,25.55,25.97,1865491
RELIANCE,2002-09-30,25.9,26.17,25.88,25.98,2254774
RELIANCE,2002-10-01,25.78,25.92,25.07,25.17,2075680
RELIANCE,2002-10-03,25.07,25.12,24.21,24.37,4891437
RELIANCE,2002-10-04,24.27,24.35,23.66,23.77,3961069
RELIANCE,2002-10-07,23.66,24.33,23.62,24.18,2026576
RELIANCE,2002-10-08,24.23,24.54,24.14,24.4,1331793
RELIANCE,2002-10-09,24.44,24.5,23.93,24.0,1444782
RELIANCE,2002-10-10,23.86,24.1,23.68,23.85,1495105
RELIANCE,2002-10-11,25.27,25.27,23.97,24.12,1287555
RELIANCE,2002-10-14,24.26,24.5,24.16,24.38,1047072
RELIANCE,2002-10-16,24.51,24.89,24.44,24.58,1966995
RELIANCE,2002-10-17,24.51,24.64,24.33,24.53,1207311
RELIANCE,2002-10-18,24.63,24.9,24.32,24.45,1421229
RELIANCE,2002-10-21,24.56,24.58,24.28,24.38,792887
RELIANCE,2002-10-22,24.47,24.49,24.07,24.16,1114776
RELIANCE,2002-10-23,23.94,23.94,23.7,23.75,1364316
RELIANCE,2002-10-24,23.66,23.86,23.06,23.14,2871456
RELIANCE,2002-10-25,23.1,23.24,22.3,22.45,4726002
RELIANCE,2002-10-28,22.43,22.61,21.95,22.13,2880309
RELIANCE,2002-10-29,22.7,23.41,22.56,23.21,5708486
RELIANCE,2002-10-30,23.42,23.75,23.42,23.6,3855740
RELIANCE,2002-10-31,23.86,27.12,23.86,26.73,36393864
RELIANCE,2002-11-01,26.76,26.95,25.34,25.95,22687604
RELIANCE,2002-11-04,26.48,26.61,26.21,26.5,5166758
RELIANCE,2002-11-05,26.68,26.68,26.14,26.3,5126794
RELIANCE,2002-11-07,26.53,27.32,25.93,26.14,8984720
RELIANCE,2002-11-08,25.57,26.39,25.57,25.97,6836817
RELIANCE,2002-11-11,25.97,26.01,25.63,25.77,2908551
RELIANCE,2002-11-12,25.57,26.35,25.54,26.25,5578331
RELIANCE,2002-11-13,27.16,27.16,26.22,26.46,8159262
RELIANCE,2002-11-14,26.53,26.75,26.4,26.67,5058403
RELIANCE,2002-11-15,26.89,27.13,26.79,27.0,4908203
RELIANCE,2002-11-18,26.98,27.87,26.89,27.37,6630375
RELIANCE,2002-11-20,27.43,27.98,27.28,27.53,7450726
RELIANCE,2002-11-21,27.71,27.89,27.51,27.65,4353172
RELIANCE,2002-11-22,27.84,29.03,27.84,28.73,13556557
RELIANCE,2002-11-25,28.64,29.37,28.36,28.85,9464779
RELIANCE,2002-11-26,29.16,29.78,29.15,29.44,13852575
RELIANCE,2002-11-27,29.35,29.49,28.81,28.92,7021521
RELIANCE,2002-11-28,29.19,29.49,29.11,29.27,7071612
RELIANCE,2002-11-29,29.45,29.67,28.57,28.98,7928814
RELIANCE,2002-12-02,29.18,29.92,28.99,29.65,5907463
RELIANCE,2002-12-03,30.0,30.38,29.14,29.33,7823413
RELIANCE,2002-12-04,29.5,29.63,28.87,29.45,9168904
RELIANCE,2002-12-05,29.67,29.99,29.45,29.64,6537126
RELIANCE,2002-12-06,29.71,30.1,29.5,29.81,3669736
RELIANCE,2002-12-09,30.1,30.63,29.32,29.49,8159296
RELIANCE,2002-12-10,29.28,29.62,29.0,29.53,4599603
RELIANCE,2002-12-11,29.69,29.89,29.26,29.46,4144766
RELIANCE,2002-12-12,29.5,29.65,29.21,29.58,4006333
RELIANCE,2002-12-13,28.99,30.07,28.99,29.89,3790765
RELIANCE,2002-12-16,30.4,30.4,29.7,29.77,6677302
