symbol,date,open,high,low,close,volume
TATAMOTORS,2000-01-03,39.6,41.48,39.6,41.39,676126
TATAMOTORS,2000-01-04,41.44,41.82,39.34,39.76,679215
TATAMOTORS,2000-01-05,37.04,41.59,37.04,40.72,1120951
TATAMOTORS,2000-01-06,41.05,43.9,41.05,42.41,1968998
TATAMOTORS,2000-01-07,42.77,45.81,42.6,45.81,2199431
TATAMOTORS,2000-01-10,49.46,49.47,47.35,49.43,1720542
TATAMOTORS,2000-01-11,49.65,49.65,45.47,45.47,1207916
TATAMOTORS,2000-01-12,45.83,46.97,43.73,45.88,938579
TATAMOTORS,2000-01-13,46.4,46.78,44.22,44.96,565754
TATAMOTORS,2000-01-14,44.86,46.4,44.49,45.65,1024725
TATAMOTORS,2000-01-17,46.39,49.28,46.39,47.86,1482994
TATAMOTORS,2000-01-18,47.93,48.21,46.79,47.35,792347
TATAMOTORS,2000-01-19,47.93,49.25,46.32,47.83,1221042
TATAMOTORS,2000-01-20,47.74,47.74,44.61,45.01,557949
TATAMOTORS,2000-01-21,43.94,44.64,43.06,44.34,696339
TATAMOTORS,2000-01-24,43.92,45.04,40.8,40.8,1125168
TATAMOTORS,2000-01-25,38.26,39.13,37.54,37.54,706121
TATAMOTORS,2000-01-27,36.28,36.85,34.54,34.54,1728526
TATAMOTORS,2000-01-28,32.65,34.75,32.15,33.45,2671887
TATAMOTORS,2000-01-31,32.68,36.03,32.47,34.31,2850688
TATAMOTORS,2000-02-01,34.35,35.31,32.86,33.47,1206216
TATAMOTORS,2000-02-02,35.13,35.69,34.06,34.39,896220
TATAMOTORS,2000-02-03,34.37,34.7,33.75,33.86,390462
TATAMOTORS,2000-02-04,34.18,34.36,33.0,34.17,805045
TATAMOTORS,2000-02-07,34.01,34.85,33.48,33.95,472973
TATAMOTORS,2000-02-08,34.18,35.31,33.7,34.49,671633
TATAMOTORS,2000-02-09,35.52,36.66,34.75,35.07,851000
TATAMOTORS,2000-02-10,35.31,35.31,34.37,34.58,276973
TATAMOTORS,2000-02-11,35.12,35.29,31.9,32.41,787181
TATAMOTORS,2000-02-14,32.46,32.46,29.83,30.13,700837
TATAMOTORS,2000-02-15,30.18,32.27,29.79,31.66,984192
TATAMOTORS,2000-02-16,32.8,32.8,31.34,31.48,316694
TATAMOTORS,2000-02-17,31.51,32.84,31.24,31.76,352975
TATAMOTORS,2000-02-18,31.7,31.89,29.22,29.44,526451
TATAMOTORS,2000-02-21,28.64,31.8,28.64,31.8,672967
TATAMOTORS,2000-02-22,33.21,34.35,32.52,34.35,635878
TATAMOTORS,2000-02-23,36.26,37.04,31.74,32.09,1254749
TATAMOTORS,2000-02-24,32.63,33.4,31.69,32.51,469287
TATAMOTORS,2000-02-25,33.31,35.12,31.8,34.92,892722
TATAMOTORS,2000-02-28,35.13,35.13,33.24,34.57,651357
TATAMOTORS,2000-02-29,34.38,35.02,31.81,31.81,835041
TATAMOTORS,2000-03-01,31.89,32.84,29.41,30.09,1464975
TATAMOTORS,2000-03-02,31.12,31.27,27.83,28.03,1313217
TATAMOTORS,2000-03-03,26.16,27.1,25.8,25.8,1222358
TATAMOTORS,2000-03-06,26.71,27.87,25.99,26.49,1705044
TATAMOTORS,2000-03-07,24.82,26.66,24.82,25.22,1087675
TATAMOTORS,2000-03-08,25.59,25.61,23.87,24.35,597334
TATAMOTORS,2000-03-09,24.44,26.29,24.1,26.29,658855
TATAMOTORS,2000-03-10,24.82,26.73,24.3,24.71,674480
TATAMOTORS,2000-03-13,25.19,25.47,22.83,22.98,673380
TATAMOTORS,2000-03-14,23.45,24.82,22.88,24.82,842598
TATAMOTORS,2000-03-15,25.78,26.6,24.82,25.82,773900
TATAMOTORS,2000-03-16,25.97,27.89,25.59,27.76,1108152
TATAMOTORS,2000-03-21,27.31,29.21,25.83,28.56,1018963
TATAMOTORS,2000-03-22,29.21,29.31,27.21,27.98,735518
TATAMOTORS,2000-03-23,28.07,28.16,25.87,26.01,428079
TATAMOTORS,2000-03-24,25.05,26.13,25.05,25.83,310258
TATAMOTORS,2000-03-27,25.78,26.31,25.42,25.84,295252
TATAMOTORS,2000-03-28,25.63,26.16,24.85,25.49,567466
TATAMOTORS,2000-03-29,25.83,26.71,25.4,25.76,896538
TATAMOTORS,2000-03-30,25.5,25.52,23.71,24.2,894430
TATAMOTORS,2000-03-31,23.73,26.14,23.2,26.03,1010408
TATAMOTORS,2000-04-03,26.35,27.86,25.78,27.25,1677659
TATAMOTORS,2000-04-04,26.92,26.92,25.07,25.07,641572
TATAMOTORS,2000-04-05,24.15,25.97,23.92,25.5,517712
TATAMOTORS,2000-04-06,25.42,25.97,23.47,24.57,610757
TATAMOTORS,2000-04-07,24.98,26.54,24.63,26.5,969387
TATAMOTORS,2000-04-10,26.54,27.66,25.8,26.67,1220619
TATAMOTORS,2000-04-11,26.16,26.92,25.24,26.34,548760
TATAMOTORS,2000-04-12,26.73,26.73,25.59,25.83,465795
TATAMOTORS,2000-04-13,24.44,25.77,23.77,24.63,877606
TATAMOTORS,2000-04-17,24.27,25.97,22.72,25.17,1342054
TATAMOTORS,2000-04-18,25.76,26.16,23.16,23.23,1333939
TATAMOTORS,2000-04-19,23.86,24.4,22.15,23.78,1121766
TATAMOTORS,2000-04-20,23.5,24.06,22.53,23.43,1020669
TATAMOTORS,2000-04-24,23.68,24.82,23.39,24.0,797119
TATAMOTORS,2000-04-25,23.69,24.52,22.92,24.34,978110
TATAMOTORS,2000-04-26,24.44,25.87,23.68,25.58,1919932
TATAMOTORS,2000-04-27,25.59,25.78,24.36,24.67,677783
TATAMOTORS,2000-04-28,24.76,24.93,24.01,24.38,541772
TATAMOTORS,2000-05-02,24.25,24.54,23.2,24.13,729748
TATAMOTORS,2000-05-03,23.87,24.54,23.49,24.32,346349
TATAMOTORS,2000-05-04,24.63,25.77,24.35,25.0,540965
TATAMOTORS,2000-05-05,25.4,27.53,24.93,26.96,1247067
TATAMOTORS,2000-05-08,27.63,29.12,26.59,27.59,1609904
TATAMOTORS,2000-05-09,27.31,28.16,26.37,27.66,727928
TATAMOTORS,2000-05-10,27.86,27.94,26.84,27.46,315753
TATAMOTORS,2000-05-11,27.31,27.31,26.08,26.36,342190
TATAMOTORS,2000-05-12,26.54,27.31,24.27,24.65,698609
TATAMOTORS,2000-05-15,24.25,25.27,23.87,24.88,306204
TATAMOTORS,2000-05-16,25.01,26.14,24.65,25.4,437273
TATAMOTORS,2000-05-17,25.78,26.35,25.3,25.58,460806
TATAMOTORS,2000-05-18,25.4,26.45,24.79,24.97,624712
TATAMOTORS,2000-05-19,24.75,25.42,24.74,24.98,256378
TATAMOTORS,2000-05-22,24.65,25.38,24.65,24.86,176179
TATAMOTORS,2000-05-23,25.01,25.2,24.25,24.61,236406
TATAMOTORS,2000-05-24,24.63,25.38,24.27,24.78,419382
TATAMOTORS,2000-05-25,24.82,24.97,23.04,23.22,1204187
TATAMOTORS,2000-05-26,23.48,23.49,22.05,22.67,1072987
TATAMOTORS,2000-05-29,22.68,24.49,22.68,23.47,1474009
TATAMOTORS,2000-05-30,22.93,23.65,22.25,23.45,912163
TATAMOTORS,2000-05-31,24.54,24.63,23.52,23.73,1001574
TATAMOTORS,2000-06-01,23.68,23.87,23.1,23.36,313592
TATAMOTORS,2000-06-02,23.51,24.04,22.06,22.69,1535065
TATAMOTORS,2000-06-05,23.28,23.49,22.7,22.75,1142609
TATAMOTORS,2000-06-06,22.91,23.1,22.72,22.77,758714
TATAMOTORS,2000-06-07,22.99,23.81,22.91,23.22,792137
