symbol,date,open,high,low,close,volume
TATASTEEL,2000-01-03,8.29,8.59,8.19,8.54,2003185
TATASTEEL,2000-01-04,8.41,8.57,8.02,8.45,1555136
TATASTEEL,2000-01-05,8.1,9.13,8.1,8.77,3840284
TATASTEEL,2000-01-06,8.91,9.48,8.91,9.43,2560449
TATASTEEL,2000-01-07,9.72,10.03,9.32,9.64,3641691
TATASTEEL,2000-01-10,9.75,10.36,9.75,10.21,4642054
TATASTEEL,2000-01-11,10.03,10.09,9.4,9.4,1705968
TATASTEEL,2000-01-12,9.25,9.64,8.92,9.26,2337738
TATASTEEL,2000-01-13,9.41,9.53,8.75,8.92,1584803
TATASTEEL,2000-01-14,9.02,9.07,8.74,8.89,1541731
TATASTEEL,2000-01-17,9.24,9.61,9.14,9.35,3326270
TATASTEEL,2000-01-18,9.35,9.86,9.15,9.68,3516827
TATASTEEL,2000-01-19,9.92,9.98,9.58,9.69,2617065
TATASTEEL,2000-01-20,9.58,10.03,9.01,9.14,8257650
TATASTEEL,2000-01-21,9.12,9.23,8.92,9.1,2794941
TATASTEEL,2000-01-24,9.18,9.18,8.41,8.47,2446509
TATASTEEL,2000-01-25,8.41,8.63,8.24,8.32,3030257
TATASTEEL,2000-01-27,8.48,8.6,8.27,8.31,1466342
TATASTEEL,2000-01-28,8.29,8.46,8.03,8.1,1996632
TATASTEEL,2000-01-31,8.02,8.07,7.77,7.81,1269284
TATASTEEL,2000-02-01,7.8,8.0,7.77,7.87,1748130
TATASTEEL,2000-02-02,8.05,8.14,7.85,7.9,1376545
TATASTEEL,2000-02-03,7.95,8.19,7.82,7.85,3275087
TATASTEEL,2000-02-04,7.95,7.96,7.79,7.85,1654411
TATASTEEL,2000-02-07,7.85,7.89,7.75,7.79,929743
TATASTEEL,2000-02-08,7.76,8.04,7.74,7.91,2677365
TATASTEEL,2000-02-09,8.15,8.42,8.02,8.09,2847687
TATASTEEL,2000-02-10,8.15,8.15,7.91,7.95,1093875
TATASTEEL,2000-02-11,8.06,8.07,7.83,7.86,1149793
TATASTEEL,2000-02-14,7.79,7.87,7.4,7.55,1013330
TATASTEEL,2000-02-15,7.48,7.68,7.3,7.38,1818713
TATASTEEL,2000-02-16,7.61,7.73,7.54,7.59,804018
TATASTEEL,2000-02-17,7.62,7.71,7.51,7.61,765613
TATASTEEL,2000-02-18,7.62,7.65,7.43,7.46,648089
TATASTEEL,2000-02-21,7.51,7.78,7.4,7.46,1165796
