symbol,date,open,high,low,close,volume
TCS,2004-08-25,149.84,149.84,122.38,123.5,17116372
TCS,2004-08-26,124.0,124.63,121.91,122.38,5055400
TCS,2004-08-27,122.8,122.8,119.82,120.33,3830750
TCS,2004-08-30,121.24,123.75,120.63,123.35,3058151
TCS,2004-08-31,123.31,123.75,122.0,123.51,2649332
TCS,2004-09-01,123.75,124.38,122.95,123.49,2491943
TCS,2004-09-02,123.74,125.58,123.25,124.21,2669544
TCS,2004-09-03,125.75,137.5,123.8,124.73,1233732
TCS,2004-09-06,129.99,129.99,124.11,124.36,1129834
TCS,2004-09-07,129.38,129.38,124.38,124.45,721529
TCS,2004-09-08,124.5,125.1,123.89,124.21,824248
TCS,2004-09-09,124.63,124.74,122.31,122.5,993398
TCS,2004-09-10,123.75,123.75,122.0,123.6,801884
TCS,2004-09-13,123.88,126.94,123.88,125.44,2613114
TCS,2004-09-14,125.63,127.35,125.37,126.96,1916934
TCS,2004-09-15,127.25,127.5,125.15,125.76,1498536
TCS,2004-09-16,125.88,126.88,125.31,126.06,919778
TCS,2004-09-17,126.5,128.74,126.29,128.06,1828487
TCS,2004-09-20,129.05,129.61,127.52,127.86,1069028
TCS,2004-09-21,128.11,131.06,127.75,130.73,1737135
TCS,2004-09-22,131.05,132.0,129.64,131.51,1921448
TCS,2004-09-23,131.0,131.13,128.38,128.78,1977460
TCS,2004-09-24,128.64,130.0,128.25,128.6,1010401
TCS,2004-09-27,128.44,129.06,126.88,127.6,1028689
TCS,2004-09-28,127.0,128.43,126.56,126.95,792427
TCS,2004-09-29,127.41,129.13,127.02,128.88,1467147
TCS,2004-09-30,129.45,130.11,127.58,128.39,1565179
TCS,2004-10-01,128.63,132.06,128.29,130.96,1371111
TCS,2004-10-04,132.13,135.13,131.81,134.56,1891228
TCS,2004-10-05,135.04,136.13,134.44,135.09,1792661
TCS,2004-10-06,135.13,137.85,134.38,135.2,2208833
TCS,2004-10-07,135.38,137.5,135.38,137.14,1260016
TCS,2004-10-08,137.25,138.88,136.88,137.26,1069865
TCS,2004-10-11,137.5,138.94,135.63,136.16,1166507
TCS,2004-10-12,138.75,139.38,134.71,135.56,1950064
TCS,2004-10-14,137.88,140.5,136.01,139.53,2403248
TCS,2004-10-15,140.21,142.63,139.66,140.75,2224968
TCS,2004-10-18,141.75,142.75,140.66,142.16,1711668
TCS,2004-10-19,142.52,143.59,142.01,142.9,1470891
TCS,2004-10-20,143.1,143.74,141.13,141.66,900854
TCS,2004-10-21,142.16,142.38,140.25,140.7,801690
TCS,2004-10-25,140.63,140.88,138.85,139.67,1173784
TCS,2004-10-26,139.45,142.62,139.45,142.15,866595
TCS,2004-10-27,142.78,143.5,141.9,142.49,979707
TCS,2004-10-28,143.13,146.85,143.13,145.74,2323927
TCS,2004-10-29,145.99,145.99,143.15,144.53,1082722
TCS,2004-11-01,143.75,146.81,142.79,146.33,767196
TCS,2004-11-02,141.25,147.47,140.63,144.96,1108005
TCS,2004-11-03,145.13,148.0,145.13,146.9,1122267
TCS,2004-11-04,147.72,148.49,145.96,146.3,819476
TCS,2004-11-05,146.74,147.5,145.0,145.68,627981
TCS,2004-11-08,145.63,148.61,144.5,148.02,1286466
TCS,2004-11-09,148.38,149.74,147.13,148.55,917339
TCS,2004-11-10,148.88,149.88,148.76,149.29,716799
TCS,2004-11-11,149.88,150.43,148.89,149.53,654391
TCS,2004-11-12,150.5,151.0,148.78,149.6,226676
TCS,2004-11-16,149.75,149.75,148.0,148.86,500688
TCS,2004-11-17,148.94,151.24,148.94,150.68,683492
TCS,2004-11-18,151.18,154.32,150.81,153.88,934016
TCS,2004-11-19,154.13,154.63,151.39,152.14,851595
TCS,2004-11-22,150.98,153.25,149.38,152.81,592284
TCS,2004-11-23,153.82,155.25,153.02,154.45,539099
TCS,2004-11-24,154.88,155.63,153.77,154.24,402913
TCS,2004-11-25,154.25,155.5,151.08,152.11,788859
TCS,2004-11-29,152.0,155.96,150.7,155.49,660186
TCS,2004-11-30,156.02,160.75,155.63,159.33,1313518
TCS,2004-12-01,160.13,160.13,157.13,157.7,1060233
TCS,2004-12-02,158.13,159.63,154.89,155.32,1207213
TCS,2004-12-03,156.16,156.99,152.7,154.6,1222152
TCS,2004-12-06,155.0,156.25,151.06,151.82,1434234
