symbol,date,open,high,low,close,volume,adj_close
UPS,1999-11-10,65.0,70.3125,64.5,68.25,80793700,33.3360595703125
UPS,1999-11-11,68.75,76.9375,68.75,75.0,28309000,36.63302993774414
UPS,1999-11-12,76.0,76.625,69.25,70.5,14768100,34.43503952026367
UPS,1999-11-15,70.5,70.875,67.3125,69.0,8675100,33.70238494873047
UPS,1999-11-16,67.875,68.0,65.0,66.0,6978600,32.23706817626953
UPS,1999-11-17,65.5625,68.1875,65.125,67.6875,5806900,33.0612907409668
UPS,1999-11-18,67.9375,68.9375,66.125,66.3125,4718700,32.38972473144531
UPS,1999-11-19,66.3125,66.3125,64.25,65.0,5091100,31.74860191345215
UPS,1999-11-22,64.0625,64.25,61.0,63.125,4785400,30.83279037475586
UPS,1999-11-23,63.375,67.0,63.25,66.1875,2832200,32.32863235473633
UPS,1999-11-24,66.0,68.1875,65.9375,67.6875,2179400,33.21183395385742
UPS,1999-11-26,68.4375,69.4375,68.1875,69.125,1322500,33.91716766357422
UPS,1999-11-29,70.0,70.25,67.0,68.125,1987000,33.42649459838867
UPS,1999-11-30,67.375,67.625,66.0625,66.0625,1686100,32.41450119018555
UPS,1999-12-01,66.25,67.375,65.625,65.875,1405700,32.322513580322266
UPS,1999-12-02,66.0,67.0625,65.875,67.0625,1391000,32.90517044067383
UPS,1999-12-03,67.4375,67.6875,66.3125,66.4375,1753500,32.59850311279297
UPS,1999-12-06,66.5,66.5,65.375,66.25,1398900,32.506500244140625
UPS,1999-12-07,65.9375,68.0,65.875,68.0,1793100,33.365177154541016
UPS,1999-12-08,68.0,68.375,66.75,68.375,1774000,33.54916000366211
UPS,1999-12-09,68.375,68.75,66.625,67.5,1713600,33.11984634399414
UPS,1999-12-10,66.375,67.0,65.375,66.125,1248600,32.44518280029297
UPS,1999-12-13,66.375,66.9375,64.875,66.0,1417800,32.383846282958984
UPS,1999-12-14,66.0,66.0,64.75,65.0,1886600,31.893178939819336
UPS,1999-12-15,65.0,65.0625,63.6875,63.75,1602800,31.279848098754883
UPS,1999-12-16,63.75,64.0625,63.25,64.0,1364600,31.40251350402832
UPS,1999-12-17,64.75,67.625,64.6875,66.625,1980800,32.69049835205078
UPS,1999-12-20,67.6875,68.5,66.9375,68.5,1501300,33.61051559448242
UPS,1999-12-21,68.25,69.0,67.5,69.0,1265200,33.8558235168457
UPS,1999-12-22,68.9375,68.9375,66.0625,67.0,1264700,32.87448501586914
UPS,1999-12-23,66.5,67.875,65.625,67.75,1180600,33.24250411987305
UPS,1999-12-27,68.5,69.6875,67.5,69.6875,1478800,34.19315719604492
UPS,1999-12-28,69.5,69.6875,68.0625,69.0,1051400,33.8558235168457
UPS,1999-12-29,69.0,69.375,67.5625,68.0,904700,33.365177154541016
UPS,1999-12-30,69.25,69.5,68.0,68.0,926700,33.365177154541016
UPS,1999-12-31,68.875,69.5,68.375,69.0,649300,33.8558235168457
UPS,2000-01-03,69.6875,69.75,67.0,67.0625,1273200,32.90517044067383
UPS,2000-01-04,67.0,67.0,64.625,64.9375,1385800,31.862516403198242
UPS,2000-01-05,64.875,68.0,64.75,68.0,1401700,33.365177154541016
UPS,2000-01-06,65.875,68.125,65.0,68.0,1959100,33.365177154541016
UPS,2000-01-07,67.625,67.625,65.75,66.375,996000,32.56785583496094
UPS,2000-01-10,66.875,67.4375,66.4375,67.0625,1191700,32.90517044067383
UPS,2000-01-11,67.125,67.4375,65.25,65.25,1020000,32.01583480834961
UPS,2000-01-12,66.125,67.5,65.4375,67.375,1097700,33.05850601196289
UPS,2000-01-13,67.625,68.5,67.375,68.3125,1071200,33.518497467041016
UPS,2000-01-14,68.875,69.25,68.3125,69.0625,1160000,33.88648986816406
UPS,2000-01-18,69.0,69.0,67.375,68.6875,980500,33.702491760253906
UPS,2000-01-19,68.5,68.5625,67.4375,68.25,1087300,33.487831115722656
UPS,2000-01-20,68.125,69.125,68.125,68.875,1972000,33.79450607299805
UPS,2000-01-21,68.875,68.875,66.6875,67.25,1270100,32.99717330932617
UPS,2000-01-24,67.875,68.25,66.0,66.0,831400,32.383846282958984
UPS,2000-01-25,65.625,66.625,64.75,65.875,1263000,32.322513580322266
UPS,2000-01-26,65.25,65.625,64.5,65.125,933400,31.95451545715332
UPS,2000-01-27,65.3125,65.375,64.0,65.125,1128400,31.95451545715332
UPS,2000-01-28,65.125,65.875,64.0,64.9375,1324700,31.862516403198242
UPS,2000-01-31,63.0,64.0,59.0,60.0,5745800,29.43984603881836
UPS,2000-02-01,59.6875,61.5,58.3125,61.375,4761000,30.1145076751709
UPS,2000-02-02,59.75,59.9375,57.1875,58.25,4740600,28.58119010925293
UPS,2000-02-03,59.25,59.5,57.375,57.625,1951900,28.27450942993164
UPS,2000-02-04,58.1875,58.1875,56.0625,56.375,1745200,27.661203384399414
UPS,2000-02-07,56.625,56.8125,55.5,55.75,1480200,27.354537963867188
UPS,2000-02-08,56.25,59.375,55.75,59.375,2055100,29.133193969726562
UPS,2000-02-09,59.5,59.625,58.0,58.0,1209400,28.458528518676758
UPS,2000-02-10,58.0625,58.5,56.5,57.0625,995700,27.998525619506836
UPS,2000-02-11,56.8125,57.0,55.125,55.125,1013900,27.04787254333496
UPS,2000-02-14,55.3125,55.5,54.125,54.375,2052800,26.67987060546875
UPS,2000-02-15,54.4375,55.0,53.5625,54.9375,1182900,26.95586585998535
UPS,2000-02-16,55.1875,56.4375,54.5,56.0,1530000,27.477182388305664
UPS,2000-02-17,56.5,58.25,56.125,58.0,1036000,28.458528518676758
UPS,2000-02-18,58.0,59.4375,55.25,56.9375,1529200,27.937183380126953
UPS,2000-02-22,56.9375,56.9375,54.5625,55.0,1226000,26.986539840698242
UPS,2000-02-23,55.0625,56.25,54.0625,54.9375,855700,26.95586585998535
UPS,2000-02-24,55.0,55.0,53.8125,54.0625,1049300,26.60886573791504
UPS,2000-02-25,54.9375,55.75,54.0625,55.5,961700,27.316390991210938
UPS,2000-02-28,55.5625,55.625,54.5,55.0,565600,27.070302963256836
UPS,2000-02-29,55.0,55.3125,54.5,54.625,750900,26.885726928710938
UPS,2000-03-01,54.625,54.6875,51.875,52.5,1471000,25.8398380279541
UPS,2000-03-02,52.125,53.625,52.0625,53.3125,1136600,26.23974609375
UPS,2000-03-03,53.3125,53.5,52.5625,52.6875,1030700,25.932113647460938
UPS,2000-03-06,54.375,54.375,52.5,52.75,1431500,25.96286964416504
UPS,2000-03-07,52.75,52.8125,49.0,50.625,2319100,24.916980743408203
UPS,2000-03-08,52.75,54.5,51.3125,54.3125,2275300,26.731922149658203
UPS,2000-03-09,54.5,54.5,52.4375,53.0,1199700,26.085920333862305
UPS,2000-03-10,53.75,54.375,53.0625,53.4375,776700,26.301259994506836
UPS,2000-03-13,52.25,54.1875,52.125,52.75,671700,25.96286964416504
UPS,2000-03-14,52.5,53.5,52.3125,52.5625,1072500,25.87059783935547
UPS,2000-03-15,52.9375,55.375,51.625,54.9375,2274800,27.03953742980957
UPS,2000-03-16,55.875,57.625,55.0625,56.25,1635300,27.685548782348633
UPS,2000-03-17,57.0625,57.0625,55.5,55.5,622400,27.316390991210938
UPS,2000-03-20,56.5,56.875,55.25,56.5625,843400,27.839338302612305
UPS,2000-03-21,56.3125,58.375,55.25,58.1875,889000,28.639137268066406
UPS,2000-03-22,58.1875,59.0625,56.8125,56.875,763100,27.993162155151367
UPS,2000-03-23,56.8125,59.9375,56.0,59.625,1472900,29.346677780151367
UPS,2000-03-24,60.0,64.125,59.8125,63.75,2148200,31.376941680908203
UPS,2000-03-27,63.0,64.0,62.625,63.1875,960400,31.10009002685547
UPS,2000-03-28,62.5,63.0,60.0625,60.25,639300,29.65428352355957
UPS,2000-03-29,61.25,61.25,58.3125,59.0625,869700,29.069814682006836
UPS,2000-03-30,58.8125,60.125,58.3125,58.5625,682400,28.82371711730957
UPS,2000-03-31,59.5625,63.0,58.1875,62.984375,727100,31.00010871887207
UPS,2000-04-03,62.0,62.0,59.0,59.375,830000,29.223623275756836
UPS,2000-04-04,59.375,59.75,55.375,57.8125,1309000,28.454578399658203
UPS,2000-04-05,56.8125,58.25,56.8125,58.1875,478000,28.639137268066406
UPS,2000-04-06,58.3125,60.1875,58.3125,59.875,800700,29.46971321105957
UPS,2000-04-07,59.875,61.4375,59.125,60.875,778200,29.961910247802734
UPS,2000-04-10,61.125,64.0,61.0,64.0,1275600,31.49997901916504
UPS,2000-04-11,63.3125,63.3125,62.125,63.1875,616700,31.10009002685547
UPS,2000-04-12,62.8125,62.875,61.25,61.5,608700,30.269515991210938
UPS,2000-04-13,61.5,61.5,59.4375,60.25,566300,29.65428352355957
UPS,2000-04-14,58.5,58.75,55.0,55.0,859800,27.070302963256836
UPS,2000-04-17,57.0,59.5,55.0,58.0,1152900,28.546863555908203
UPS,2000-04-18,58.0,61.1875,58.0,60.6875,714900,29.869617462158203
UPS,2000-04-19,60.1875,60.5,58.75,59.0625,510200,29.069814682006836
UPS,2000-04-20,61.0,63.875,60.625,63.5,1730600,31.253904342651367
UPS,2000-04-24,63.0,63.25,62.0,62.625,1071000,30.823223114013672
UPS,2000-04-25,64.3125,66.4375,63.8125,66.4375,1644600,32.69969177246094
UPS,2000-04-26,66.5,66.9375,64.9375,66.1875,1239300,32.5766487121582
UPS,2000-04-27,65.5,66.5625,65.1875,65.9375,689400,32.453617095947266
UPS,2000-04-28,66.6875,66.75,65.5,66.5,1011200,32.73044967651367
UPS,2000-05-01,66.625,66.9375,64.25,64.25,904600,31.623029708862305
UPS,2000-05-02,64.0625,64.4375,63.25,63.8125,1565300,31.40770721435547
UPS,2000-05-03,64.0625,64.0625,62.3125,62.375,566400,30.700178146362305
UPS,2000-05-04,62.125,62.125,60.0,60.9375,669000,29.99266242980957
UPS,2000-05-05,59.75,60.875,59.0,59.875,834300,29.46971321105957
UPS,2000-05-08,59.0,61.75,58.3125,61.0625,1726400,30.054187774658203
UPS,2000-05-09,61.5,63.375,60.8125,62.5,859200,30.761716842651367
UPS,2000-05-10,62.0,62.375,60.625,60.8125,880400,29.93114471435547
UPS,2000-05-11,60.875,61.6875,60.875,61.25,934200,30.146467208862305
UPS,2000-05-12,61.5,62.625,61.375,61.5625,603600,30.300262451171875
UPS,2000-05-15,61.5625,64.0,60.6875,63.3125,1110200,31.161605834960938
UPS,2000-05-16,64.0,64.0,61.875,62.0,526500,30.5156192779541
UPS,2000-05-17,61.75,62.875,61.1875,62.3125,466300,30.669435501098633
UPS,2000-05-18,62.25,62.25,61.375,62.125,626500,30.57713508605957
UPS,2000-05-19,61.875,62.1875,60.5,61.875,754800,30.4540958404541
UPS,2000-05-22,61.625,61.875,59.875,61.4375,701700,30.238773345947266
UPS,2000-05-23,61.1875,62.25,61.125,61.875,669500,30.4540958404541
UPS,2000-05-24,61.0,61.375,59.125,59.625,592700,29.346677780151367
UPS,2000-05-25,59.4375,60.25,58.0,58.875,795300,29.06037139892578
UPS,2000-05-26,59.0,59.3125,56.75,57.1875,1003100,28.227447509765625
UPS,2000-05-30,57.0,59.3125,57.0,59.0625,602100,29.152931213378906
UPS,2000-05-31,59.9375,60.9375,59.625,59.875,794000,29.553974151611328
UPS,2000-06-01,60.8125,62.0625,60.625,61.5,1261000,30.356063842773438
UPS,2000-06-02,62.1875,62.4375,60.9375,61.0,745100,30.109275817871094
UPS,2000-06-05,60.875,62.5,60.8125,61.5625,812100,30.386905670166016
UPS,2000-06-06,61.5625,61.875,60.75,61.75,585000,30.479463577270508
UPS,2000-06-07,61.75,62.1875,61.4375,62.0625,729800,30.633697509765625
UPS,2000-06-08,62.0,62.125,60.25,60.25,606300,29.73907470703125
UPS,2000-06-09,60.25,60.25,59.3125,59.3125,505500,29.276309967041016
UPS,2000-06-12,59.0,59.875,57.5,59.34375,1105100,29.291757583618164
UPS,2000-06-13,59.5,62.0625,59.25,61.3125,958400,30.263519287109375
UPS,2000-06-14,61.1875,61.875,60.875,61.25,898600,30.232664108276367
UPS,2000-06-15,61.5,62.5,61.4375,62.375,1076100,30.787967681884766
UPS,2000-06-16,62.4375,62.75,61.375,61.75,721300,30.479463577270508
UPS,2000-06-19,61.75,62.1875,60.25,62.125,1019300,30.664562225341797
UPS,2000-06-20,61.875,62.0,60.875,61.4375,630200,30.325239181518555
UPS,2000-06-21,60.9375,61.8125,60.5625,61.75,627200,30.479463577270508
UPS,2000-06-22,61.5625,62.9375,61.25,62.9375,1331900,31.065616607666016
UPS,2000-06-23,62.8125,62.8125,61.3125,61.4375,672500,30.325239181518555
UPS,2000-06-26,60.75,61.0,60.3125,60.75,596300,29.985877990722656
UPS,2000-06-27,60.75,60.9375,59.625,60.125,1001700,29.677377700805664
UPS,2000-06-28,60.1875,60.8125,59.5625,59.625,754100,29.430585861206055
UPS,2000-06-29,59.625,60.3125,58.625,60.25,1002300,29.73907470703125
UPS,2000-06-30,60.3125,62.0,58.90625,58.90625,1990200,29.075817108154297
UPS,2000-07-03,59.5,59.875,59.3125,59.4375,375000,29.338027954101562
UPS,2000-07-05,59.625,61.3125,59.5,61.0,829500,30.109275817871094
UPS,2000-07-06,61.0,61.4375,61.0,61.3125,570100,30.263519287109375
UPS,2000-07-07,60.375,61.0,60.125,60.6875,733000,29.955015182495117
UPS,2000-07-10,60.0,61.0625,59.875,61.0,596000,30.109275817871094
UPS,2000-07-11,60.3125,60.9375,60.3125,60.8125,469800,30.016725540161133
UPS,2000-07-12,60.5,61.0625,60.1875,60.6875,613300,29.955015182495117
UPS,2000-07-13,60.5625,60.75,60.0625,60.3125,631200,29.769920349121094
UPS,2000-07-14,60.6875,61.0,60.4375,60.875,678100,30.047571182250977
UPS,2000-07-17,60.9375,61.375,60.0625,60.4375,944800,29.83161735534668
UPS,2000-07-18,60.1875,60.875,60.1875,60.75,565500,29.985877990722656
UPS,2000-07-19,60.75,61.5,60.625,61.25,1013500,30.232664108276367
UPS,2000-07-20,60.875,60.9375,59.1875,59.5625,1154700,29.399717330932617
UPS,2000-07-21,59.3125,60.0,59.0,59.5,1013100,29.368871688842773
UPS,2000-07-24,58.75,59.5,58.5,59.0,930800,29.122095108032227
UPS,2000-07-25,58.5625,59.0625,58.5625,58.6875,572700,28.96784210205078
UPS,2000-07-26,58.625,58.6875,57.5625,58.125,868000,28.690183639526367
UPS,2000-07-27,58.0,58.6875,57.5,58.125,508100,28.690183639526367
UPS,2000-07-28,58.6875,58.875,57.25,57.375,468600,28.31999397277832
UPS,2000-07-31,57.375,58.75,57.25,58.75,644900,28.998682022094727
UPS,2000-08-01,58.5625,58.5625,57.875,58.3125,365400,28.782747268676758
UPS,2000-08-02,58.375,58.5,57.75,58.1875,314000,28.721023559570312
UPS,2000-08-03,57.625,58.5,57.3125,57.9375,447800,28.597640991210938
UPS,2000-08-04,57.4375,58.0,57.4375,57.6875,339500,28.474233627319336
